DESPESA_AQUISICAO_BENS;TERRENOS_HABITACOES;DSC_AUTARQUIA;INFRAESTRUTURAS_BASICAS;ACESSIBILIDADES;ldk;DESPESA_TOTAL;JUROS_ENCARGOS;DESPESA_COM_PESSOAL;CODIGO_PERIODO;OUTROS_INVESTIMENTOS_BENS_DE_CAPITAL;EDIFICIOS;DESPESA_CORRENTE;CODIGOINE;TRANSFERENCIAS_OUTRAS_DESPESAS_CAPITAL;TRANSFERENCIAS_CORRENTES;INVESTIMENTOS_OUTROS_INVESTIMENTOS_BENS_DE_CAPITAL
1380168.47;2455.45;ABRANTES;18521.09;54824.37;T1_1401;4633718.39;44527.8;1657555.49;T1;106970.4;290916.77;3767595.19;1401;392435.12;685343.43;473688.08
1683286.96;23294;ÁGUEDA;204661.77;1211130.74;T1_0101;6574129.65;4312.56;1592755.63;T1;159368.6;688424.85;3967567.94;0101;319681.75;687212.79;2286879.96
442207.63;533.6;AGUIAR DA BEIRA;66212.1;50966.53;T1_0901;1310045;9280.41;401508.71;T1;65755.02;46745.16;1014430.2;0901;65402.39;161433.45;230212.41
656214.3;0;ALANDROAL;11300;216503.12;T1_0701;2565547.49;183406.29;825433.27;T1;86924.89;44205.07;1744890.61;0701;461723.8;79836.75;358933.08
967478.79;160000;ALBERGARIA-A-VELHA;0;58496.75;T1_0102;2744307.82;29534.58;896424.88;T1;206134.48;74078.47;2003125.19;0102;242472.93;109686.94;498709.7
1700308.3;0;ALBUFEIRA;10968.53;107128.14;T1_0801;8378113.56;114221.9;4716964.97;T1;90119.49;442261.3;7016717.23;0801;710918.87;485222.06;650477.46
978591.14;0;ALCÁCER DO SAL;29483.9;372194.81;T1_1501;3607187.91;10535.43;1397676.63;T1;10850.6;2576.91;3126677.23;1501;65404.46;739874.03;415106.22
683195.11;2194.52;ALCANENA;0;92383.74;T1_1402;2083074.55;90457.66;668042.78;T1;74822.58;125599.19;1654143.85;1402;133930.67;212448.3;295000.03
1990860.27;0;ALCOBAÇA;13127.96;40572.06;T1_1001;4726453.47;16110.7;1557651.85;T1;107995.72;195678.32;3923858.22;1001;445221.19;359235.4;357374.06
279883.84;0;ALCOCHETE;0;24822.58;T1_1502;1942956.19;4477.59;1509764.73;T1;1518.78;2815.01;1872899.62;1502;40900.2;78773.46;29156.37
298603.46;32324.69;ALCOUTIM;604.98;11872.41;T1_0802;1233385.52;299.49;646537.58;T1;21940.1;1215.07;987942.82;0802;177485.45;42502.29;67957.25
687134.18;0;ALENQUER;0;267670.42;T1_1101;3884603.34;54444.5;2170208.95;T1;46582.02;66219.44;3306491.43;1101;197640.03;394703.8;380471.88
352073.76;2450;ALFÂNDEGA DA FÉ;8610.47;152618.64;T1_0401;1987646.47;131307;631328.16;T1;122018.42;3078.1;1172947;0401;525923.84;58238.08;288775.63
248892.14;7937.34;ALIJÓ;78076.05;103198.38;T1_1701;1548198.49;53833.08;659665.5;T1;3613.1;0;1037933.26;1701;317440.36;75542.54;192824.87
540092.65;6255.91;ALJEZUR;126.94;83878.14;T1_0803;1835160.17;14295.56;767268.82;T1;19113.64;3423.53;1563458.25;0803;158903.76;241801.22;112798.16
506093.11;0;ALJUSTREL;23714.52;148982.99;T1_0201;2413130.05;19489.78;791250.96;T1;114095.7;346834.42;1611230.65;0201;168271.77;294396.8;633627.63
