DESPESA_AQUISICAO_BENS;TERRENOS_HABITACOES;DSC_AUTARQUIA;INFRAESTRUTURAS_BASICAS;ACESSIBILIDADES;ldk;DESPESA_TOTAL;JUROS_ENCARGOS;DESPESA_COM_PESSOAL;CODIGO_PERIODO;OUTROS_INVESTIMENTOS_BENS_DE_CAPITAL;EDIFICIOS;DESPESA_CORRENTE;CODIGOINE;TRANSFERENCIAS_OUTRAS_DESPESAS_CAPITAL;TRANSFERENCIAS_CORRENTES;INVESTIMENTOS_OUTROS_INVESTIMENTOS_BENS_DE_CAPITAL
1875099.87;33536.25;ARRAIOLOS;736963.44;0;T3_0702;7290852.97;75616.66;2235366.15;T3;307078.66;686829.75;4649960.36;0702;876484.51;463877.68;1764408.1
771284.65;0;ARRONCHES;9460.26;37830.72;T3_1202;3959377.75;19559.66;1371651.84;T3;887298.68;366133.57;2440122.19;1202;218532.33;277626.04;1300723.23
2424292.61;20000;ARRUDA DOS VINHOS;40431.01;230942.7;T3_1102;8009354.9;73411.47;2859191.77;T3;487482.97;154782.15;6160059.62;1102;915656.45;803163.77;933638.83
2811713.24;2371801.02;AVEIRO;137828.28;1195659.68;T3_0105;34598446.19;5307339.96;8517912.91;T3;844850.8;772229.63;25107187.79;0105;4168888.99;8470221.68;5322369.41
1392972.83;2960;AVIS;190241.87;535793.94;T3_1203;7366488.34;62050.22;2847291.21;T3;643953.65;148675.9;4969629.64;1203;875233.34;667315.38;1521625.36
2881715.08;102900;AZAMBUJA;103612.05;330562.52;T3_1103;12559479.08;262396.83;4754913.16;T3;254108.17;154492.9;8829959.95;1103;2783843.49;930934.88;945675.64
2756095.42;532625;BAIÃO;301817.09;830731.05;T3_1302;11436706.29;53855.53;3745857.03;T3;1656907.92;182662.75;7011424.88;1302;920537.6;455616.9;3504743.81
10012447.93;805309.22;BARCELOS;246150.44;4655503.16;T3_0302;41787308.97;215611.76;9757870.53;T3;1885205.43;1317816.98;28512449.48;0302;4364874.26;8526519.26;8909985.23
522388.54;8640.67;BARRANCOS;0;19760.63;T3_0204;3902222.67;36045.59;1564103.79;T3;467699.41;5654.53;2585105.56;0204;815361.87;462567.64;501755.24
5935089.27;70591.59;BARREIRO;677162.95;760083.46;T3_1504;28364148.28;246126.23;11618335.53;T3;889219.25;999587.92;21050167.81;1504;3917335.3;3250616.78;3396645.17
2363362.48;87047.5;BATALHA;542894.3;572090.27;T3_1004;7375666.58;9815.74;1452046.66;T3;606341.07;414353.3;4769740.2;1004;383199.94;944515.32;2222726.44
3919697.52;25687.88;BEJA;124823.31;229208.97;T3_0205;20399153.39;131638.53;6222753.19;T3;704448.79;5513660.75;10999912.71;0205;2801410.98;725823.47;6597829.7
1303676.92;15000;BELMONTE;3032.75;934516.29;T3_0501;5821235.35;31020.18;877218.33;T3;790969.35;1266658.07;2619009.2;0501;192049.69;407093.77;3010176.46
3540604.11;120253.95;BENAVENTE;351628.36;612082.1;T3_1405;12530637.99;43087.93;5177263.28;T3;252246.38;38250.31;10083742.12;1405;1072434.77;1322786.8;1374461.1
1344305.44;0;BOMBARRAL;24926.5;156706.77;T3_1005;5550707.92;77188.49;2859065.94;T3;66273.83;18262.85;4651857.53;1005;632680.44;371297.66;266169.95
1208850.33;2537.98;BORBA;41365.26;111850.92;T3_0703;5750943.68;188859.49;2565795.38;T3;272985.58;91428;4134293.45;0703;1096482.49;170788.25;520167.74
1529879.42;97613.23;BOTICAS;36546.78;618353.05;T3_1702;6135838.2;47448.63;1908595.49;T3;415223.64;30016.11;3975817.68;1702;962267.71;489894.14;1197752.81
8995173.13;0;BRAGA;685181.08;1608360.9;T3_0303;68718175.61;1005887.82;19375041.26;T3;4741960.12;2919368.35;35110489.35;0303;23652815.81;5734387.14;9954870.45
9311036.03;683275.39;BRAGANÇA;205779.3;3021772.42;T3_0402;25917499.58;197640.63;5046466.09;T3;3297399.7;138358.87;15731268.13;0402;2839645.77;1176125.38;7346585.68
1323127.8;7960.13;CABECEIRAS DE BASTO;243545.9;1659772.62;T3_0304;13902024.94;81467.99;3319182.37;T3;437480.53;4407625.94;5605711.7;0304;1539928.12;881933.54;6756385.12
1746047.36;40499.9;CADAVAL;251094.65;430499.63;T3_1104;6800223.16;55898.97;2839758.34;T3;327090.18;363405.57;5141071.8;1104;246561.43;499367.13;1412589.93
5665188.97;252900;CALDAS DA RAINHA;18903.71;2635502.59;T3_1006;20902974.97;74173.71;3833923.4;T3;417345.79;4192027.39;12012006.6;1006;1374288.89;2438720.52;7516679.48
1313065.58;149303.55;CALHETA (MADEIRA);78430.96;267544.55;T3_3101;5682728.57;89620.09;1565419.33;T3;185026.52;16579.11;4307818.22;3101;678025.66;1339713.22;696884.69
650496.52;0;CALHETA (SÃO JORGE);29830.78;118251.51;T3_4501;2979555.27;324130.32;1351617.54;T3;184667.06;0;2394197.54;4501;252608.38;67953.16;332749.35
2311233.36;223542.09;CÂMARA DE LOBOS;512023.02;4036063.74;T3_3102;13035182.45;131010.78;3117165.03;T3;319904.31;253932.82;6201814.76;3102;1487901.71;642405.59;5345465.98
3310588.5;1732.5;CAMINHA;907981.5;1289984.28;T3_1602;10958946.45;55740.14;3443545.52;T3;814390.6;71838.14;7267450.41;1602;605569.02;457576.25;3085927.02
1325304.54;57848.68;CAMPO MAIOR;32385.03;177121.98;T3_1204;5451094.65;16873.47;3076652.94;T3;155827.03;38976.44;4865845.73;1204;123089.76;447014.78;462159.16
2740037.26;375000;CANTANHEDE;83431.19;7801105.27;T3_0602;25916194.07;245519.36;4606328.82;T3;1904239.54;2308123.33;9194563.05;0602;4249731.69;1602677.61;12471899.33
1070464.36;22311.24;CARRAZEDA DE ANSIÃES;15047.26;188322.56;T3_0403;6431560.34;127791.05;2158098.88;T3;161950.25;926003.72;4132706.35;0403;985218.96;776352.06;1313635.03
1304540.15;26065.42;CARREGAL DO SAL;52095.33;113310.11;T3_1802;5932716.26;47630.03;1639651.1;T3;107128.29;1510741.83;3498616.36;1802;624758.92;506795.08;1809340.98
2319892.27;49583.26;CARTAXO;33693.9;126610.66;T3_1406;12774567.79;337124.55;5451141.63;T3;248655.97;93763.25;8904053.66;1406;3318207.09;795895.21;552307.04
38472445.73;784149.45;CASCAIS;4478192.44;7383215.29;T3_1105;108215880.73;378532.47;24678483.43;T3;3321667.46;2451534.39;81458072.34;1105;8339049.36;17928610.71;18418759.03
606181.52;17295;CASTANHEIRA DE PÊRA;43082.45;322011.82;T3_1007;3440307.75;90328.58;1101395.69;T3;224560.87;629496.01;1931025.51;1007;272836.09;133119.72;1236446.15
4534828.52;2595476.9;CASTELO BRANCO;459983.83;1991866.85;T3_0502;28256944.79;115488.44;5474803.09;T3;1019158.9;6580699.68;12383330.12;0502;3226428.51;2258210.07;12647186.16
2170747.62;31970.64;CASTELO DE PAIVA;43048.55;302570.36;T3_0106;7234143.54;147583.87;2240345.06;T3;237306.45;383127.21;5051245.31;0106;1184875.02;492568.76;998023.21
884010.16;32366.2;CASTELO DE VIDE;93755.11;89043.4;T3_1205;4035626.96;12263.53;2084317.31;T3;234129.7;187209.08;3143845.66;1205;255277.81;163254.66;636503.49
2897998.91;3889.65;CASTRO DAIRE;705124.83;1570635.32;T3_1803;10289966.02;41645.12;3050286.38;T3;261300.85;294863.48;6417276.51;1803;1036875.38;427346.1;2835814.13
2811867.44;106415.1;CASTRO MARIM;1640709.13;713894.39;T3_0804;10142306.58;34934.31;2148822.38;T3;1211113.91;81085.34;6188402.66;0804;200686.05;1192778.53;3753217.87
1992154.91;461039.37;CASTRO VERDE;288933.94;277004.11;T3_0206;8784032.19;39360.98;3037756.82;T3;650838.3;538972.33;5918986.78;0206;648257.36;849714.07;2216788.05
2968066.4;101975.24;CELORICO DA BEIRA;110262.9;1404095.34;T3_0903;11267904.23;432345.14;3460304.24;T3;504056.92;649088.91;7447979.04;0903;1050445.88;587263.26;2769479.31
2415420.38;464839.35;CELORICO DE BASTO;254972.21;308910.78;T3_0305;11296858.32;256516.98;3402253.45;T3;202727.8;2040692.71;6597736.15;0305;1426979.32;523545.34;3272142.85
1517933.97;99408.58;CHAMUSCA;292644.56;701370.57;T3_1407;8614075.37;59096.67;2530989.68;T3;654971.63;164109.29;4926048.2;1407;1775522.54;818027.88;1912504.63
3740148.86;55862.83;CHAVES;701335.79;3628678.8;T3_1703;23101448.26;216284.77;6998259.96;T3;1389486.39;2620888.88;12118465.18;1703;2586730.39;1163771.59;8396252.69
2491476.11;152407;CINFÃES;453921.08;747384.15;T3_1804;9944670.27;7540.1;3185720.57;T3;650004.68;524957.67;6341129.28;1804;1074866.41;656392.5;2528674.58
14131055.08;1574065.12;COIMBRA;374325.71;3432131.82;T3_0603;59412571.39;886933.86;21665695.39;T3;1529702.44;989791.98;44421286.43;0603;7091267.89;7737602.1;7900017.07
2044923.49;25000;CONDEIXA-A-NOVA;357228.62;955656.16;T3_0604;8890112.33;38565.25;2566174.09;T3;727230.75;1053019.24;5119643.16;0604;652334.4;469980.33;3118134.77
1028419.5;123538.43;CONSTÂNCIA;121566.46;39531.82;T3_1408;4967578.75;49079.89;1516181.34;T3;258569.1;976250.91;2900881.64;1408;547240.39;307200.91;1519456.72
3262467.2;192134.86;CORUCHE;10438.16;724868.13;T3_1409;14625272.5;54183.79;4800458.24;T3;2778617.04;853592.81;9385754.5;1409;679867;1268645.27;4559651
220047.9;0;CORVO;10898.83;160718;T3_4901;1176479.5;12457.71;450755.11;T3;194889.74;9905.55;697728.64;4901;102338.74;14467.92;376412.12
