DESPESA_AQUISICAO_BENS;TERRENOS_HABITACOES;DSC_AUTARQUIA;INFRAESTRUTURAS_BASICAS;ACESSIBILIDADES;ldk;DESPESA_TOTAL;JUROS_ENCARGOS;DESPESA_COM_PESSOAL;CODIGO_PERIODO;OUTROS_INVESTIMENTOS_BENS_DE_CAPITAL;EDIFICIOS;DESPESA_CORRENTE;CODIGOINE;TRANSFERENCIAS_OUTRAS_DESPESAS_CAPITAL;TRANSFERENCIAS_CORRENTES;INVESTIMENTOS_OUTROS_INVESTIMENTOS_BENS_DE_CAPITAL
1029764.17;0;ABRANTES;338563.39;1028.5;T1_1401;5117579.42;65903.57;1602292.81;T1;146094.16;694081.77;3268332.83;1401;669478.77;570372.28;1179767.82
1611888.26;48264.96;ÁGUEDA;7576.55;746396.34;T1_0101;6123647.32;4597.24;1590900.03;T1;181928.25;963637.23;3878307.75;0101;297536.24;670922.22;1947803.33
398380.33;18000;AGUIAR DA BEIRA;45356.14;364393.03;T1_0901;1495638.89;13376.59;407410.41;T1;27639.11;8301.27;922666.24;0901;109283.1;103498.91;463689.55
455766.01;0;ALANDROAL;11274.87;10793.59;T1_0701;2185016.64;84952.5;756704.96;T1;58854.15;816.33;1387554.36;0701;715723.34;90130.89;81738.94
756823.65;371.95;ALBERGARIA-A-VELHA;0;6936.96;T1_0102;2310916.58;12539.71;1030619.99;T1;61366.76;289125.1;1858954.34;0102;94161.47;58970.99;357800.77
2832963.88;9818.03;ALBUFEIRA;303939.03;514046.75;T1_0801;11158672.56;297.91;4932255.72;T1;166208.33;1627610.15;8537050.27;0801;0;771532.76;2621622.29
971588.54;0;ALCÁCER DO SAL;78749.91;283320.47;T1_1501;3505210.34;2784.1;1395512.3;T1;53521.79;47073.23;2913262.86;1501;129282.08;543377.92;462665.4
320046.49;0;ALCANENA;10283.52;2776.38;T1_1402;1571060.34;33926.26;737473.3;T1;48314.3;528;1292070.28;1402;217087.86;200624.23;61902.2
1810503.72;125000;ALCOBAÇA;1246.92;92960.14;T1_1001;5115205.34;101390.05;1534400.89;T1;82704.54;48808.74;4164508.45;1001;599976.55;718213.79;350720.34
424867.84;0;ALCOCHETE;0;1113.2;T1_1502;2410079.72;16802.79;1568056.34;T1;67015.57;19272.02;2169221.31;1502;153457.62;159494.34;87400.79
333482.87;9999.55;ALCOUTIM;175775;3065.83;T1_0802;1651112.99;2921.77;600529.98;T1;284951.96;3369.18;1033918.64;0802;140032.83;96984.02;477161.52
664967.61;0;ALENQUER;4736.85;286444.54;T1_1101;4232429.52;83403.1;2144795.96;T1;22162.58;344543.62;3275927.55;1101;298614.38;382760.88;657887.59
481356.98;26587.66;ALFÂNDEGA DA FÉ;13737.79;112126.58;T1_0401;2025521.94;203955.97;600430.17;T1;97821.46;18924.43;1386861.67;0401;369462.35;101118.55;269197.92
661336.77;71650.62;ALIJÓ;44731.97;320352.69;T1_1701;2711845.87;95687.53;765007.66;T1;55440.09;430228;1620480.26;1701;168962.24;98448.3;922403.37
515201.52;20000;ALJEZUR;4831.09;79224.55;T1_0803;1744329.31;10281.12;686235.43;T1;77141.22;52708.74;1396423.36;0803;114000.35;184705.29;233905.6
689608.79;21650;ALJUSTREL;53321.41;82713.26;T1_0201;2105988.74;20651.3;742204.39;T1;114256.36;23725.6;1703164.91;0201;107157.2;250700.43;295666.63
3477796.4;0;ALMADA;153867.45;66340.18;T1_1503;12355607.65;156698.54;5752952.09;T1;478051.98;197298.59;11000410.96;1503;459638.49;1612963.93;895558.2
1105061.89;4218;ALMEIDA;72158.02;462301.88;T1_0902;3193175.61;58779.8;553078.45;T1;349480.23;0;2149483.01;0902;155534.47;432562.87;888158.13
1036081.83;47121.1;ALMEIRIM;10912;145302.71;T1_1403;3619536.07;23776.3;1132738.54;T1;33077.04;697008.84;2547048.85;1403;139065.53;354452.18;933421.69
485292.85;0;ALMODÔVAR;70121.49;366357.76;T1_0202;2362141.71;23221.63;931845.46;T1;76201.64;55293.46;1648245.56;0202;145921.8;207885.62;567974.35
267447.48;0;ALPIARÇA;13147.49;14353.79;T1_1404;1617558.68;31522.2;688595.02;T1;282226.24;84013;1032620.26;1404;191197.9;45055.56;393740.52
437297.41;65011.85;ALTER DO CHÃO;19950.61;29890.85;T1_1201;1533277.07;7653.24;585469.49;T1;109180.68;2504.7;1164711.52;1201;142026.86;134291.38;226538.69
414723.49;771.52;ALVAIÁZERE;91760;227143.67;T1_1002;1614895.49;5556.69;362614.99;T1;286363.06;114814.58;823972.5;1002;70070.16;41077.33;720852.83
148053.61;0;ALVITO;59000.33;125373.41;T1_0203;961242.4;4328.45;461952.84;T1;41539.6;2322.37;667531.99;0203;65474.7;53197.09;228235.71
5802295.82;0;AMADORA;263046.39;12714.59;T1_1115;16435809.83;27763.85;5932467.81;T1;422781.4;286880.47;14981384.09;1115;469002.89;3218856.61;985422.85
2328863.29;115961;AMARANTE;482346.44;381632.47;T1_1301;7052134.32;49312.01;2154945.96;T1;106881.32;54361.91;5164505.62;1301;746445.56;631384.36;1141183.14
494920.98;0;AMARES;61176.58;287279.55;T1_0301;2661602.1;53512.05;860629.58;T1;69404.96;237362.71;1570140.38;0301;436237.92;161077.77;655223.8
911850.11;32465;ANADIA;44121.31;210092.93;T1_0103;2560890.95;1866.44;801144.16;T1;145071.31;76173.06;1904059.82;0103;148907.52;189199.11;507923.61
563568.87;543434.4;ANGRA DO HEROÍSMO;29141;201932.65;T1_4301;4905161.44;37516.37;907058.18;T1;75626.28;151361.43;2048442.08;4301;1855223.6;540298.66;1001495.76
735958.5;151307;ANSIÃO;10424.51;1077192.89;T1_1003;3408429.45;63794.28;533184.53;T1;148084.29;338378.98;1380625.3;1003;302416.48;47687.99;1725387.67
718853.93;47500;ARCOS DE VALDEVEZ;717.55;552010.66;T1_1601;4810977.04;37234.08;1149996.36;T1;334985.68;4660.16;2055895.32;1601;1815207.67;149810.95;939874.05
423901.92;93622;ARGANIL;2392.65;36538.57;T1_0601;2519522.69;28923.26;756948.49;T1;101673.54;749554.23;1365500.95;0601;170240.75;155727.28;983780.99
793553.23;37025;ARMAMAR;15644.66;253766.9;T1_1801;2665325.79;59599.71;662426.17;T1;30379.47;573197.64;1530772.61;1801;224539.51;15193.5;910013.67
1069238.31;15000;AROUCA;31279.88;30210.01;T1_0104;2820154.85;2241.05;762073.62;T1;40644.77;339753.03;1934482.89;0104;428784.27;100929.91;456887.69
543090.61;0;ARRAIOLOS;385617.5;0;T1_0702;2155069.97;28380.42;625363.78;T1;57814.89;81492.93;1379703.78;0702;250440.87;182868.97;524925.32
270754.51;0;ARRONCHES;849.79;1844;T1_1202;946438.64;3971.05;393950.53;T1;118864.25;9800.6;738307.22;1202;76772.78;69631.13;131358.64
876514.35;0;ARRUDA DOS VINHOS;23416.16;247690.15;T1_1102;3043660.5;32640.4;841370.92;T1;66891.64;65809.51;1950259.44;1102;689593.6;199733.77;403807.46
796875.56;451521.76;AVEIRO;3364.6;114158.53;T1_0105;7710233.06;743353.55;2444484;T1;814698.12;106116.49;5390350.37;0105;830023.19;1405637.26;1489859.5
325181.97;10355.65;AVIS;5790.78;169827.5;T1_1203;1897447.91;20519.86;812179.73;T1;205296.94;5017.55;1324562.91;1203;176596.58;166681.35;396288.42
426884.02;0;AZAMBUJA;0;0;T1_1103;2625325.87;40828.13;1344371.27;T1;51211;19402.42;1971231.01;1103;583481.44;159147.59;70613.42
703853.22;22500;BAIÃO;8116;223602.15;T1_1302;2703792.34;12994.82;1089524.61;T1;121005.91;59804.42;1961137.44;1302;307626.42;154764.79;435028.48
3765698.98;135997.77;BARCELOS;10534.72;1578661.12;T1_0302;13945658.37;3379.28;2926423.58;T1;290535.76;450775.4;8512757.23;0302;2966396.37;1817255.39;2466504.77
164901.16;948.28;BARRANCOS;0;3917.44;T1_0204;925231.71;15361.74;444540.54;T1;52282.91;1182;764940.74;0204;101960.34;140137.3;58330.63
1264104.47;6781.26;BARREIRO;37190.7;88631.54;T1_1504;7594804.77;82623.93;3534920.88;T1;68977.56;108379.63;5842119.53;1504;1442724.55;960470.25;309960.69
644935.34;0;BATALHA;216131.78;113133.98;T1_1004;2014531.36;1387.04;412750.08;T1;311526.35;53714.13;1296030.78;1004;23994.34;236958.32;694506.24
