DESPESA_AQUISICAO_BENS;TERRENOS_HABITACOES;DSC_AUTARQUIA;INFRAESTRUTURAS_BASICAS;ACESSIBILIDADES;ldk;DESPESA_TOTAL;JUROS_ENCARGOS;DESPESA_COM_PESSOAL;CODIGO_PERIODO;OUTROS_INVESTIMENTOS_BENS_DE_CAPITAL;EDIFICIOS;DESPESA_CORRENTE;CODIGOINE;TRANSFERENCIAS_OUTRAS_DESPESAS_CAPITAL;TRANSFERENCIAS_CORRENTES;INVESTIMENTOS_OUTROS_INVESTIMENTOS_BENS_DE_CAPITAL
4831879.5;670107.67;ABRANTES;241851.46;326049.74;A_1401;21878100.04;112063.79;7110002.5;A;703029.74;1986471.49;15709721.45;1401;2240868.49;3655775.66;3927510.1
7063938.66;1133785.69;ÁGUEDA;561985.45;1115340.22;A_0101;29560469.85;47981.12;7619550.9;A;2661328.3;4467093.52;17557735.94;0101;2063200.73;2826265.26;9939533.18
2243156.82;95194.25;AGUIAR DA BEIRA;745192.79;1610176.48;A_0901;7938938.15;29803.99;1933847.78;A;239718.63;45996.55;4748863.71;0901;453795.74;542055.12;2736278.7
2463892.21;0;ALANDROAL;572321.06;871657.82;A_0701;9097885.58;393583.48;3056689.57;A;438691.3;54934.52;6583395.7;0701;576885.18;669230.44;1937604.7
4978556.05;465459.62;ALBERGARIA-A-VELHA;0;880529.54;A_0102;13715156.82;31468.74;4010681.56;A;933026.9;131554.77;10148472.74;0102;1156113.25;1127766.39;2410570.83
23415486.54;261995.91;ALBUFEIRA;227034.05;1252393.71;A_0801;59662599.56;268713.83;19859464;A;1605179.19;246732.45;49153157.52;0801;6916106.73;5609493.15;3593335.31
5022492.24;30000;ALCÁCER DO SAL;158451.5;118078.76;A_1501;16255677.9;8590.72;7183465;A;948937.13;897450.26;13752367.2;1501;350393.05;1537819.24;2152917.65
3409946.9;102899.78;ALCANENA;6418899.4;159322.05;A_1402;21999024.15;239454.99;2984116.72;A;873848.28;174209.53;7633468.02;1402;6636377.09;999949.41;7729179.04
9787705.3;38580.75;ALCOBAÇA;146874.47;2416230.44;A_1001;29894261.46;120111.04;6564823.91;A;1568873.42;166969.88;19197101.48;1001;6359631.02;2724461.23;4337528.96
4079703.79;0;ALCOCHETE;34837.1;190692.19;A_1502;14074225.15;69947.78;6832560.6;A;717515.11;45250.25;12103671.66;1502;982258.84;1121459.49;988294.65
1990306.51;237502.92;ALCOUTIM;174053.09;328902.04;A_0802;7934234.29;23638.23;2786791.99;A;1003641.06;0;5781769.65;0802;408365.53;981032.92;1744099.11
5680394.22;1322073.99;ALENQUER;19366.07;1055895.2;A_1101;23198353.99;241101.14;9422308.65;A;291356.39;461424.05;17936476.66;1101;2111761.63;2592672.65;3150115.7
2205923.41;25000;ALFÂNDEGA DA FÉ;82868.96;88057.69;A_0401;20855507.06;790985.92;2715424.26;A;1034696.1;153862.48;6499730.13;0401;12971291.7;787396.54;1384485.23
4599548.44;30000;ALIJÓ;235950.39;1245458.14;A_1701;13983696.26;846016.38;2779246.42;A;849915.93;279141.3;8460996.75;1701;2882233.75;236185.51;2640465.76
3291516.13;49938.99;ALJEZUR;130047.92;304147.83;A_0803;9876827.13;38127.13;3121481.65;A;621243.72;21571.12;7704620.55;0803;1045257;1253495.64;1126949.58
2898380.79;0;ALJUSTREL;555297.74;178303.58;A_0201;10352728.59;74665.09;3463146.4;A;734960.22;16056.23;7479556.51;0201;1388554.31;1043364.23;1484617.77
22916313.24;545690.13;ALMADA;1632102.21;2248375.64;A_1503;82705206.22;345067.14;29833060.78;A;6546223.96;932986.7;61405331.22;1503;9394496.36;8310890.06;11905378.64
2511792.93;0;ALMEIDA;83532.86;563088.48;A_0902;9219257.07;47378.96;3054705.86;A;737329.63;307458.49;6599610.79;0902;928236.82;985733.04;1691409.46
4367255.96;474000;ALMEIRIM;205109.7;679567.59;A_1403;14533975.93;89722.9;4585886.77;A;1134611.6;123571.73;10688761.53;1403;1228353.78;1645895.9;2616860.62
3014418.66;226055;ALMODÔVAR;219134.83;617760.12;A_0202;11965800.69;23404.68;3831089.97;A;1132344.89;485524.93;8175517.71;0202;1109463.21;1306604.4;2680819.77
1298258.18;0;ALPIARÇA;0;30538.19;A_1404;5566905.37;162756.89;2618219.26;A;27886.75;7276.68;4451801.48;1404;1049402.27;372567.15;65701.62
1734728.48;38922.05;ALTER DO CHÃO;77752.03;67099.97;A_1201;5939501.63;19375.9;2556935.11;A;669876.81;18732.51;4760140.15;1201;306978.11;449100.66;872383.37
2059390.06;50345.44;ALVAIÁZERE;1879.97;1855306.29;A_1002;10293578.63;167063.71;1458588.45;A;1076636.47;2478632.79;4098581.49;1002;732196.18;413539.27;5462800.96
1009458.25;0;ALVITO;8149.58;184269.58;A_0203;4029333.61;1822.31;2035199.06;A;83303.4;8331.21;3484672.72;0203;260607.12;438193.1;284053.77
22845747.59;762536.25;AMADORA;1063329.77;560551.05;A_1115;70301880.87;90787.06;27249876.51;A;906239.7;1415303.84;60322545.6;1115;5271374.66;10136134.44;4707960.61
8610164.01;2553.73;AMARANTE;66020.09;1400075.19;A_1301;27966576.45;155746.27;8444622.74;A;886625.28;1935208.34;20008282.89;1301;3667810.93;2797749.87;4290482.63
3578060.31;30890.17;AMARES;195664.61;423195.95;A_0301;12069497.13;79668.6;3660653.21;A;635428.32;502806.52;8571376.3;0301;1710135.26;1252994.18;1787985.57
5065121.25;16400;ANADIA;726252.12;1268482.94;A_0103;15886254.48;156013.92;4140704.79;A;1323259.86;617417.03;10418595.98;0103;1515846.55;1056756.02;3951811.95
3457963;521405.8;ANGRA DO HEROÍSMO;72336.19;2552813.57;A_4301;19301662.14;94638.05;4701923.75;A;1130188.86;1076870.2;10414928.56;4301;3533118.96;2160403.76;5353614.62
3189846.89;28710;ANSIÃO;81909.53;964151.23;A_1003;10285734.92;261283.88;2196597.2;A;551105.8;190042.99;6214938.72;1003;2254876.65;567210.75;1815919.55
7043215.98;552976.19;ARCOS DE VALDEVEZ;496188.5;1699780.27;A_1601;21885440.92;86952.33;4951419.81;A;1533574.86;1087015.44;13526480.85;1601;2989424.81;1444892.73;5369535.26
3162890.01;12132.5;ARGANIL;178061.14;1106012.57;A_0601;11087001.96;59393.09;3224675.71;A;328298.34;147366.92;7571554.13;0601;1743576.36;1124595.32;1771871.47
2517484.29;101615;ARMAMAR;4786.39;368103.74;A_1801;8897503.56;206185.39;3152687.46;A;551177.36;578158.83;5994872.83;1801;1298789.41;118515.69;1603841.32
5127325.08;326075.49;AROUCA;210054.25;1664685.75;A_0104;17060937.37;72266.53;3402696.72;A;2455059.57;1102670.03;9853050.06;0104;1449342.22;1250761.73;5758545.09
2388834.02;10339.67;ARRAIOLOS;226340.65;0;A_0702;7997050.94;47325.46;2697964.88;A;362275.56;144602.24;6117826.36;0702;1135666.46;983702;743558.12
1252762.75;33096.02;ARRONCHES;27269.17;36272.58;A_1202;6669097.45;11751.41;1766276.24;A;748682.36;1930526.44;3558159.72;1202;335091.16;527369.32;2775846.57
3669184.03;37000;ARRUDA DOS VINHOS;69320.31;448348.64;A_1102;9675079.38;109701.56;3597725.07;A;303173.51;51162.07;7914035.74;1102;852039.11;537425.08;909004.53
11810527;2235965.73;AVEIRO;263055.92;645675.04;A_0105;48268605.48;1213371.74;12899822.29;A;3853274.74;1754690.1;29935766.99;0105;9580176.96;4012045.96;8752661.53
2355749.2;1768;AVIS;0;2592.23;A_1203;7736762.55;91251.49;3280682.43;A;940586.55;24109.66;6203024.74;1203;564681.37;475341.62;969056.44
3156498.66;0;AZAMBUJA;164370.22;204337.57;A_1103;14364395;197843.47;5502130.6;A;668730.74;95285.3;10992783.71;1103;2238887.46;2136310.98;1132723.83
3900031.68;0;BAIÃO;306333.03;813607.29;A_1302;13019427.29;47699.93;4752682.69;A;476279.25;162113.45;9957444.77;1302;1303649.5;1257030.47;1758333.02
14564167.19;116032.88;BARCELOS;580579.77;3192687.74;A_0302;51733847.07;271799.67;13691541.85;A;1217718.69;472752.37;33964876.48;0302;12189199.14;5437367.77;5579771.45
449943;2744.95;BARRANCOS;0;19233.83;A_0204;3593951.52;20409.13;1846855.59;A;43059.44;12621.1;3119873.72;0204;396418.48;802666;77659.32
11600756.87;94401.86;BARREIRO;830588.19;1142774.9;A_1504;38130923.82;370339.68;14239908.54;A;1822563.08;201678.59;29927749.9;1504;4111167.3;3716744.81;4092006.62
4733589.77;5350;BATALHA;774999.07;840987.07;A_1004;10829273.82;13602.46;1987465.56;A;433383.96;122798.13;7791566.82;1004;860188.77;1056909.03;2177518.23
6732722.53;22770.24;BEJA;12932.76;520024.15;A_0205;21566410.78;94819.53;8064964.83;A;634349.28;711196.14;17802306.94;0205;1862831.27;2909800.05;1901272.57
3044909.15;129108.73;BELMONTE;67378.01;389123.49;A_0501;7023217.29;37356.99;1123876.66;A;211170.93;490931.64;4843416.81;0501;892087.68;637274.01;1287712.8
4619392.15;0;BENAVENTE;78096.05;346563.05;A_1405;15093204.9;7314.33;5814464.73;A;191700.29;501335.39;12749951.73;1405;1225558.39;2308780.52;1117694.78
3915883.03;0;BOMBARRAL;129128.87;103159.64;A_1005;9110919.72;158885.12;3447306.7;A;494821.47;34132.52;7888497.27;1005;461179.95;366422.42;761242.5
2223890.72;18646.43;BORBA;98708.34;36538;A_0703;7184009.16;204185.25;2987887.58;A;202519.87;66319.45;5755967.03;0703;1005310.04;340003.48;422732.09
2195971.11;29716.65;BOTICAS;63957.14;642123.92;A_1702;7892553.53;9615.4;2452364.88;A;428658.85;254357.66;5742889.85;1702;730849.46;1084938.46;1418814.22
18815808.59;0;BRAGA;14977.18;2113771.16;A_0303;85429758.68;338447.65;23723998.32;A;1807880.37;3946449.24;62248925.66;0303;15297755.07;19370671.1;7883077.95
11347881.59;136325.38;BRAGANÇA;590157.85;1308555.07;A_0402;28413444.6;161492.64;6653559.82;A;1869258.01;994977.5;19513607.58;0402;4000563.21;1350673.53;4899273.81
3910626.33;83829.7;CABECEIRAS DE BASTO;229087.73;1185060.99;A_0304;12864655.44;126788.35;4561984.25;A;601770.49;208140.43;9494327.82;0304;1062438.28;894928.89;2307889.34
3649477.81;0;CADAVAL;55194.23;372159.24;A_1104;9668102.24;32577.13;3625387.61;A;232876.78;691420.66;7899521.08;1104;416930.25;592078.53;1351650.91
7646229.9;304099.26;CALDAS DA RAINHA;9056.41;1523221.75;A_1006;24151502.82;95295.05;5210215.62;A;1959629.87;1267242.39;15912391.36;1006;3175861.78;2960650.79;5063249.68
2528987.8;0;CALHETA (MADEIRA);28555.44;1373789.19;A_3101;9429702.41;103833.82;2364750.88;A;526639.96;57914.45;5760612.17;3101;1682191.2;763039.67;1986899.04
625797.5;0;CALHETA (SÃO JORGE);16537.71;1113849.6;A_4501;4896568.71;107268.04;1651450.89;A;117087.8;28848.49;2454679.64;4501;1165565.47;70163.21;1276323.6
2067879.73;145431.98;CÂMARA DE LOBOS;44390.92;3022549.66;A_3102;13684333.97;237133.97;3667697.88;A;649561.38;68702.87;6672768.22;3102;3080928.94;700056.64;3930636.81
5137551.46;0;CAMINHA;492525.15;1698207.33;A_1602;17228957.79;130637.23;5042743.92;A;1615164.92;875804.25;11324376.56;1602;1222879.58;1013443.95;4681701.65
2399134.54;1185835.69;CAMPO MAIOR;33959.95;1318372.45;A_1204;10103539.64;21255.35;3117235.07;A;924577.03;34343.15;6407376.8;1204;199074.57;869751.84;3497088.27
4502675.9;95770.7;CANTANHEDE;16866.35;1219456.41;A_0602;23243103.86;239377.14;4953018.6;A;1000328.57;3379480.08;12339581.86;0602;5191619.89;2644510.22;5711902.11
1734977.87;260768.53;CARRAZEDA DE ANSIÃES;5865.87;697642.1;A_0403;8469622.6;17467.89;2413624.27;A;592858.83;809027.11;5161895.04;0403;941565.12;995825.01;2366162.44
2036882.69;31697.19;CARREGAL DO SAL;49207.26;858485.39;A_1802;6520771.08;26961.97;2168356.84;A;287615.05;2874.63;4584018.11;1802;706873.45;351816.61;1229879.52
