DESPESA_AQUISICAO_BENS;TERRENOS_HABITACOES;DSC_AUTARQUIA;INFRAESTRUTURAS_BASICAS;ACESSIBILIDADES;ldk;DESPESA_TOTAL;JUROS_ENCARGOS;DESPESA_COM_PESSOAL;CODIGO_PERIODO;OUTROS_INVESTIMENTOS_BENS_DE_CAPITAL;EDIFICIOS;DESPESA_CORRENTE;CODIGOINE;TRANSFERENCIAS_OUTRAS_DESPESAS_CAPITAL;TRANSFERENCIAS_CORRENTES;INVESTIMENTOS_OUTROS_INVESTIMENTOS_BENS_DE_CAPITAL
1149369.66;0;ABRANTES;139502.17;33495.7;T1_1401;5153364.89;88451.22;1543353.66;T1;64473.8;1176298.57;3237115.25;1401;502479.4;455940.71;1413770.24
1802409.69;63616;ÁGUEDA;188324.1;218737.88;T1_0101;5457786.27;566.91;1542051.17;T1;121777.48;936890.78;3807817.7;0101;120622.33;462789.93;1529346.24
340425.99;4054.97;AGUIAR DA BEIRA;3791.39;247362.51;T1_0901;1349657.94;31267.77;392716.46;T1;48261.42;35448.35;886980.19;0901;123759.11;122569.97;338918.64
451212.45;0;ALANDROAL;0;3338.67;T1_0701;1826693.5;19348.25;758186.13;T1;18566.38;391053.33;1328224.34;0701;85510.78;99477.51;412958.38
853783.1;0;ALBERGARIA-A-VELHA;0;49454.9;T1_0102;2968797.32;48023.75;933275.89;T1;525280.11;411560.59;1909977.01;0102;72524.71;74894.27;986295.6
3478019.16;6150.68;ALBUFEIRA;13068.75;98847.97;T1_0801;10574040.81;189964.36;4723865.89;T1;153577.78;468503.46;9283047.79;0801;550844.38;891198.38;740148.64
993994.64;39.24;ALCÁCER DO SAL;1887.93;170561.94;T1_1501;3344897.76;14545.48;1316060.18;T1;69115.93;48091.14;2928816.58;1501;126385;604216.28;289696.18
300496.25;47552.49;ALCANENA;1504.39;232806.29;T1_1402;1737677.86;66323.98;662881.34;T1;56022.93;19108.05;1243566.12;1402;137117.59;213864.55;356994.15
2105908.24;0;ALCOBAÇA;8286.7;22719.23;T1_1001;5335414.11;71267.45;1472344.3;T1;81420.26;535846.84;4056687.41;1001;630453.67;407167.42;648273.03
368847.18;10000;ALCOCHETE;420;5490.08;T1_1502;2829245.81;27081.09;1525360.61;T1;27563.51;660714.26;1995185.26;1502;129872.7;73896.38;704187.85
398337.16;114806.98;ALCOUTIM;151661.27;1533.93;T1_0802;1785743.44;4038.02;619196.77;T1;222729.5;0;1074278.44;0802;220733.32;52706.49;490731.68
709135.13;0;ALENQUER;47689.51;223202.02;T1_1101;4407489.25;101941.7;2118845.3;T1;69749.11;507469.56;3320011.09;1101;239367.96;390088.96;848110.2
244616.57;1951.45;ALFÂNDEGA DA FÉ;18700.75;173494.14;T1_0401;1811495.28;156411.26;598760.39;T1;83616.34;10290.58;1144026.01;0401;379416.01;144237.79;288053.26
358483.19;48551.35;ALIJÓ;192279.97;190931.24;T1_1701;1981577.5;104494.59;638524.88;T1;233012.12;21414.5;1231985.62;1701;63402.7;130482.96;686189.18
560028.94;0;ALJEZUR;39056.63;315294.71;T1_0803;2009027.66;22624.24;680458.89;T1;63841.31;5040.84;1423111.18;0803;162682.99;159999.11;423233.49
554771.12;0;ALJUSTREL;17112.7;150837.89;T1_0201;2170859.52;38209.72;728128.33;T1;134739.03;47450.6;1653306.35;0201;167412.95;332197.18;350140.22
3315930.15;0;ALMADA;52105.83;35427.61;T1_1503;12534193.53;302290.59;5680550.29;T1;371758.77;581271.66;11111536.51;1503;382093.15;1812765.48;1040563.87
709248.56;0;ALMEIDA;21272.26;406483.8;T1_0902;2379743.61;76279.26;515004.78;T1;208372.17;23465.03;1597831.39;0902;122318.96;297298.79;659593.26
999776.17;50898;ALMEIRIM;3985.09;107161.3;T1_1403;2958118.87;46938.28;1043197.77;T1;104978.59;103892.04;2400094.92;1403;187108.93;310182.7;370915.02
416098.1;22500;ALMODÔVAR;22323.21;53600;T1_0202;2117629.72;32666.05;843399.37;T1;260474.47;13681.83;1537589.14;0202;207461.07;245425.62;372579.51
472721.53;8551.2;ALPIARÇA;352.4;0;T1_1404;2004763.37;103806.04;1021366.57;T1;107447.71;71630.07;1649758.87;1404;167023.12;51864.73;187981.38
371898.52;45746.63;ALTER DO CHÃO;0;71177.97;T1_1201;1630963.67;257.72;564202.02;T1;187610.15;240139.45;1008315.44;1201;77974.03;71957.18;544674.2
407391.27;6702;ALVAIÁZERE;142716.85;123885.23;T1_1002;2315853.94;4725.49;358745.81;T1;807733.18;280518.19;858049.65;1002;96248.84;87187.08;1361555.45
164077.75;0;ALVITO;99005.42;23162.29;T1_0203;998020.46;6867.69;488309.7;T1;27144.57;43623.1;743177.66;0203;61907.42;83922.52;192935.38
4094383.07;13726.8;AMADORA;296007.05;539769.84;T1_1115;14050379.83;35203.44;5872818.42;T1;166994.43;85419.13;12388532.22;1115;559930.36;2386127.29;1101917.25
2385363.65;23984.77;AMARANTE;79352.68;147877.18;T1_1301;6966617.16;71987.7;2054795.29;T1;268916.94;655448.65;5052816.83;1301;738220.11;540670.19;1175580.22
402008.37;0;AMARES;59211.86;765658.97;T1_0301;4301154.67;112921.55;844966.7;T1;45615.76;1562124.93;1497094.81;0301;371448.34;137198.19;2432611.52
784596.34;4916;ANADIA;409349.41;630120.39;T1_0103;3518753.91;3298.3;715376.12;T1;221638;402466.41;1665499.78;0103;184763.92;162229.02;1668490.21
458059.98;478151;ANGRA DO HEROÍSMO;17482.96;241608.37;T1_4301;4265991.66;41328.75;891622.37;T1;86572.33;606640.77;2515229.07;4301;320307.16;1124217.97;1430455.43
853988.28;39038.81;ANSIÃO;322071.49;825715.27;T1_1003;3440323.26;74387.39;548416.37;T1;88734.37;300753.5;1539237.56;1003;324772.26;62445.52;1576313.44
1161757.31;208000;ARCOS DE VALDEVEZ;108690.54;467915.54;T1_1601;4401405.3;70923.08;1143299.05;T1;390176.19;46584.08;2600818;1601;579220.95;224838.56;1221366.35
643715.83;0;ARGANIL;27306.92;144953.65;T1_0601;2390901.73;33808.47;806741.05;T1;57136.96;407634.79;1571176.66;0601;182692.75;86911.31;637032.32
378387.36;7750;ARMAMAR;5565;292757.69;T1_1801;1831053.57;79481.32;643054.15;T1;78492.37;24031.36;1191995.98;1801;230461.17;91073.15;408596.42
1164418.04;43012.51;AROUCA;52817.59;361011.5;T1_0104;3466774.55;2867.42;752069.25;T1;182948.19;504197.67;2171382.83;0104;151404.26;252028.12;1143987.46
470775.63;7000;ARRAIOLOS;244542.86;0;T1_0702;1967465.15;35246.55;645422.43;T1;118868.75;31732.86;1273751.01;0702;291569.67;122306.4;402144.47
340610.87;0;ARRONCHES;757.38;6692.18;T1_1202;952651.31;5717.71;371938.48;T1;62788;51030.95;791216.76;1202;40166.04;72949.7;121268.51
763605.66;0;ARRUDA DOS VINHOS;43822.97;194505.97;T1_1102;2350267.71;26586.91;833523.72;T1;21358.89;122482.84;1799277.29;1102;168819.75;175561;382170.67
838711.6;562431.8;AVEIRO;6162.61;245811.42;T1_0105;6459501.7;403726.76;2473037.04;T1;69064.29;127313.38;4571356.58;0105;877361.62;855881.18;1010783.5
184158.8;0;AVIS;3382.4;162066.06;T1_1203;2104879.51;41330.07;824229.28;T1;108552.48;19937.46;1150119.45;1203;660821.66;100401.3;293938.4
978892.43;0;AZAMBUJA;138621.59;10490.71;T1_1103;3035043.54;57432.49;1294866.12;T1;41948.96;1919.36;2391508.33;1103;450554.59;60317.29;192980.62
796445.47;18701.4;BAIÃO;3813;230186.79;T1_1302;3062598.68;29790.17;1071347.53;T1;87043.96;416909.37;2026411.8;1302;279532.36;128828.63;756654.52
3657381.17;59884;BARCELOS;0;464097.95;T1_0302;11965057.45;28407.26;2867693.26;T1;581129.24;600252.47;8021947.67;0302;2237746.12;1468465.98;1705363.66
159259.4;205.74;BARRANCOS;0;16106.75;T1_0204;927116.42;19451.96;457358.09;T1;21059.32;1633.94;785890.13;0204;102220.54;149820.68;39005.75
1979644.62;6555.83;BARREIRO;85430.58;41246.41;T1_1504;7581205.42;83051.25;3331863.64;T1;187846.79;164962.44;6185767.75;1504;909395.62;791208.24;486042.05
933182.65;12932;BATALHA;13038.12;61943.99;T1_1004;1938143.59;20087.15;421109.89;T1;116172.39;151450.13;1572049.76;1004;10557.2;197670.07;355536.63
1161655.52;0;BEJA;662330.78;144903.32;T1_0205;5058192.59;57136.24;1843264.14;T1;515909.1;57880.22;3188610.38;0205;488558.79;126554.48;1381023.42
404336.96;0;BELMONTE;5535;59222.81;T1_0501;888055.98;10313.05;239193.8;T1;14281.35;0;740692.64;0501;68324.18;86848.83;79039.16
1197820.48;0;BENAVENTE;141277.86;390148.29;T1_1405;4161030.92;14716.17;1426153.56;T1;101457.6;237872.93;2996947.95;1405;293326.29;358257.74;870756.68
754120.51;1108.04;BOMBARRAL;401212.37;54769.11;T1_1005;2357979.59;31123.83;788750.06;T1;71355.32;15856.87;1616512.89;1005;197164.99;42518.49;544301.71
372218.42;16125;BORBA;5347.8;17448.18;T1_0703;1605379.09;84902.13;688170.37;T1;83886.81;3491.11;1205083.91;0703;273996.28;59792.99;126298.9
384742.96;69592.9;BOTICAS;72283.83;342200.66;T1_1702;2715028.48;21931.21;491390.77;T1;932932.1;0;1001719.99;1702;296299;103655.05;1417009.49
2855872.72;0;BRAGA;510362.46;132832.73;T1_0303;19011082.36;507123.54;5801071.79;T1;1728719.31;281813.27;10704451.6;0303;5652902.99;1540383.55;2653727.77
2618753.67;317333.39;BRAGANÇA;55905.41;533986.77;T1_0402;6464543.33;83885.54;1407505.98;T1;261535.67;498965.38;4348823.29;0402;447993.42;238678.1;1667726.62
404420.22;397456.43;CABECEIRAS DE BASTO;190884.3;305961.1;T1_0304;3306014.03;63520.05;958982.18;T1;41283.68;227170.85;1659969.04;0304;483288.63;233046.59;1162756.36
626108.59;0;CADAVAL;2266.85;261842.3;T1_1104;1942543.75;48418.66;767148.81;T1;12322.95;4480.23;1581380.41;1104;80251.01;139704.35;280912.33
1824142.84;0;CALDAS DA RAINHA;37896.2;275429.01;T1_1006;4784029.18;121043.49;1127803.93;T1;317101.43;92457.61;3566422.64;1006;494722.29;493432.38;722884.25
340298.05;609;CALHETA (MADEIRA);9721.55;501493.34;T1_3101;1847890.63;41856.43;447310.69;T1;52254.52;414.24;1057745.32;3101;225652.66;228280.15;564492.65
173107.4;0;CALHETA (SÃO JORGE);12070.58;321662.61;T1_4501;1041158.5;65472.7;382224.92;T1;47654.72;0;627799.05;4501;31971.54;6994.03;381387.91
448443.74;13386.85;CÂMARA DE LOBOS;38496.75;198930.59;T1_3102;1979381.48;71369.41;762446.7;T1;51609.44;27669.91;1409686.06;3102;239601.88;127426.21;330093.54
1248730.86;0;CAMINHA;103176.83;143858.35;T1_1602;3036730.67;30577.62;1069834.54;T1;158976.16;106140.45;2406231.41;1602;118347.47;57088.39;512151.79
536701.66;12000;CAMPO MAIOR;899.65;236136;T1_1204;1842330.19;21260.34;800439.51;T1;6978.92;333.43;1533278.92;1204;52703.27;174877.41;256348
878860.12;0;CANTANHEDE;4766.89;242113.05;T1_0602;3681823.62;79603.13;1099523.57;T1;136505.58;198007.44;2345047.5;0602;755383.16;287060.68;581392.96
324098.76;11212.5;CARRAZEDA DE ANSIÃES;0;503352.79;T1_0403;2250033.69;26465.31;688927.49;T1;125688.71;148212.18;1147304.46;0403;314263.05;107812.9;788466.18
442842.71;0;CARREGAL DO SAL;2534.6;236420.29;T1_1802;1875802.08;15964.29;464233.08;T1;273977.71;159546.64;1066741.77;1802;136581.07;143701.69;672479.24
415588.31;0;CARTAXO;3391.88;3837.86;T1_1406;2485483.84;121420.02;1216991.37;T1;171423.42;95022.16;1997492.26;1406;214316.26;243492.56;273675.32
12874653.57;170012.57;CASCAIS;169521.4;1185152.98;T1_1105;34074682.48;170026.37;7138280.99;T1;2094386.42;941279.57;27208956.34;1105;2305373.2;7025995.41;4560352.94
1330310.83;11250;CASTANHEIRA DE PÊRA;169288.49;1874978.88;T1_1007;6209724.97;225116.07;359281.73;T1;1136998.16;639012.36;2307850.46;1007;70346.62;393141.83;3831527.89
1586839.87;509605.27;CASTELO BRANCO;60979.83;1067654.01;T1_0502;10668092.7;12950.25;1592508.12;T1;1471757.13;2206270.31;4138036.13;0502;1213790.02;945737.89;5316266.55
728809.15;0;CASTELO DE PAIVA;34140.01;131423.7;T1_0106;2169139.24;129442.74;671968.89;T1;59204.3;47821.87;1712424.21;0106;184125.15;182203.43;272589.88
383893.27;150.23;CASTELO DE VIDE;29003.15;485122.59;T1_1205;1644304.63;7599.39;541543.92;T1;45792.57;10568.42;997848.76;1205;75818.91;64812.18;570636.96
848724.07;41099.47;CASTRO DAIRE;243897.52;1055214.93;T1_1803;3621861.86;18798.54;933259.41;T1;159218.91;11386.82;1929383.8;1803;181660.41;128601.78;1510817.65
659517.25;9429.52;CASTRO MARIM;1193.16;81662.29;T1_0804;1720095.33;3515.73;587930.42;T1;69300.44;9517.32;1523437.43;0804;25555.17;272474.03;171102.73
