IMI;FINANCIAMENTO_UNIAO_EUROPEIA;TAXAS_MULTAS_OUTROS_IMPOSTOS;DSC_AUTARQUIA;IMPOSTOS_MUNICIPAIS;IUC;TRANSFERENCIAS_ORCAMENTO_ESTADO;ldk;IMT;CODIGO_PERIODO;CODIGOINE;VENDA_BENS_SERVICOS;DERRAMA_IRC;RECEITAS_TOTAIS;OUTRAS_RECEITAS
2995737.08;563178;177992.88;ABRANTES;4991178.04;573502.84;8508429;T3_1401;545606.76;T3;1401;3031969.57;698338.48;17734393;639638.39
3764253.74;3491848.4;375570.9;ÁGUEDA;6903886.66;859881.85;6578649.01;T3_0101;761821.34;T3;0101;2056934.1;1142358.83;21061389.3;2030071.13
383337.39;181580.04;28831.86;AGUIAR DA BEIRA;555294.93;79917.27;3756204;T3_0901;63208.41;T3;0901;763917.01;0;5389211.72;132215.74
425032.92;406325.07;10449.5;ALANDROAL;608153.14;68966.85;4178954.43;T3_0701;77384.77;T3;0701;754638.83;26319.1;6492797.48;544726.01
1906425.74;255038.07;181002.85;ALBERGARIA-A-VELHA;3491973.78;455258.14;4333428;T3_0102;391181.89;T3;0102;1362034.56;558105.16;9817411.56;374937.15
20329349.34;271072.44;1788153.95;ALBUFEIRA;39103765.84;1036216.73;3977064;T3_0801;15080670.19;T3;0801;17795045.42;869375.63;63349550.48;2202602.78
1059441.72;827394.5;287656.96;ALCÁCER DO SAL;2696025.1;180574.2;7003116;T3_1501;1167612.37;T3;1501;1781341.6;739.85;12592947.96;285070.76
1492514.42;2237931.76;194652.52;ALCANENA;2402336.65;239938.8;3594922.17;T3_1402;188401.43;T3;1402;1300319.66;286829.48;14816291.53;5280781.29
5576729.38;397453.36;553037.38;ALCOBAÇA;9194087.26;1092709.53;8203068;T3_1001;1330844.83;T3;1001;3109111.54;640766.14;21361216.55;457496.39
2545426.71;4499.29;1132200.88;ALCOCHETE;5575278.29;270715.47;2120078.51;T3_1502;1049770.61;T3;1502;2227139.68;577164.62;10148482.21;221486.44
181218.67;341548.42;25260.08;ALCOUTIM;278682.98;32650.69;4399209;T3_0802;39553.54;T3;0802;315414.93;0;6042173.83;707318.5
4284654.94;52589.22;450084.37;ALENQUER;6581580.01;713873.2;4929786;T3_1101;1036310.91;T3;1101;2387439.46;96656.59;17275890.34;3324495.65
390599.26;814608.54;293168.02;ALFÂNDEGA DA FÉ;843906.45;61744.83;4097755.08;T3_0401;58208.33;T3;0401;460778.11;40186.01;18588138.22;12371090.04
957334.6;211633.16;50326.48;ALIJÓ;1378440.93;157435.76;5005817.48;T3_1701;132797.96;T3;1701;1288162.9;80546.13;9847442.99;1963388.52
1241467.39;197256.89;133069.85;ALJEZUR;2240475.85;95808.23;3286314;T3_0803;770130.38;T3;0803;1421597.8;0;7291512.72;145868.18
532237.85;587985.21;77996.36;ALJUSTREL;2161041.22;150631.09;4203189;T3_0201;244807.6;T3;0201;835894.69;1155368.32;8076653.24;288543.12
21049083.49;317934.02;1848721.49;ALMADA;31541276.67;2679839.94;12428055;T3_1503;4424944.12;T3;1503;7190850.58;1538687.63;54965295.51;3487179.24
555811.41;127419.3;359171.64;ALMEIDA;1043469.51;93967.83;5445252;T3_0902;34518.63;T3;0902;1022281.5;0;7777463.26;139040.95
1845257.65;13644.35;184872.1;ALMEIRIM;2652618.61;342418.86;4113621;T3_1403;226611.28;T3;1403;1565424.37;53458.72;10147500.47;1802192.14
352173.57;212110.37;156931.56;ALMODÔVAR;720897.16;101007.16;6042420.01;T3_0202;84441.23;T3;0202;824750.36;26343.64;8396339.24;596161.34
526285.12;0;51858.34;ALPIARÇA;819248.46;114711.96;2359800;T3_1404;71093.65;T3;1404;568305.14;55299.39;4539555.08;792201.48
235940.62;454572.07;29206.73;ALTER DO CHÃO;314229.79;41206.35;3006342;T3_1201;0;T3;1201;671639.74;7876.09;4691701.21;244917.61
645786.6;2384600.47;72328.9;ALVAIÁZERE;939386.71;108765.07;3351249;T3_1002;112506.14;T3;1002;951248.9;0;7812664.33;186179.25
159474.47;47530.15;11900.09;ALVITO;258360.89;28345.11;2355164.41;T3_0203;58641.22;T3;0203;356966.34;0;3257093.21;239071.42
16420916.24;187036.03;1489956.17;AMADORA;25065768.41;2473801.24;13725250;T3_1115;2774309.04;T3;1115;7746192.03;1906785.72;55021252.68;8297006.21
2891803.84;571771.9;659604.56;AMARANTE;4949677.98;820413.71;10792026;T3_1301;577855.87;T3;1301;2808520.02;0;20961683.78;1839687.88
1229191.77;464334.46;153483.2;AMARES;2036183.9;319630.59;4130802;T3_0301;333878.34;T3;0301;1097696.19;0;8714557.83;985541.28
2013720.49;29166.31;95132.65;ANADIA;3095494.72;519540.11;6204708;T3_0103;361145.22;T3;0103;3148026.03;105956.25;12677076.99;199681.93
