IMI;FINANCIAMENTO_UNIAO_EUROPEIA;TAXAS_MULTAS_OUTROS_IMPOSTOS;DSC_AUTARQUIA;IMPOSTOS_MUNICIPAIS;IUC;TRANSFERENCIAS_ORCAMENTO_ESTADO;ldk;IMT;CODIGO_PERIODO;CODIGOINE;VENDA_BENS_SERVICOS;DERRAMA_IRC;RECEITAS_TOTAIS;OUTRAS_RECEITAS
85801.03;220882.02;146698.95;ABRANTES;792570.08;142098.36;2921028;T1_1401;263841.56;T1;1401;746144.74;154130.18;5057223.06;376598.22
69426.64;1062886.72;177405.65;ÁGUEDA;1031646.49;201636.14;2435111;T1_0101;580016.65;T1;0101;264255.86;3161.41;5593596.23;799696.16
1793.51;0;18507.33;AGUIAR DA BEIRA;27903.71;5126.91;869276;T1_0901;2475.96;T1;0901;247060.89;0;1183424.63;39184.03
4082.7;15485.85;4072.44;ALANDROAL;85283.09;17555.12;1289682;T1_0701;59261.09;T1;0701;191862.61;311.74;2312930.98;730617.43
33744.42;101581.95;119949.17;ALBERGARIA-A-VELHA;551958.26;100921.48;1502661;T1_0102;172679.43;T1;0102;485030.74;124663.76;3135619.33;494387.38
785714.51;0;436979.95;ALBUFEIRA;3512748.88;237711.24;767566;T1_0801;2052343.18;T1;0801;4148933.57;0;10796909.33;2367660.88
20476.23;6959.02;437197.14;ALCÁCER DO SAL;738466.64;46685.9;2400357;T1_1501;231823.18;T1;1501;389429.71;2284.19;3845724.49;310512.12
20257.09;0;55456.68;ALCANENA;259519.12;55226.12;1104927;T1_1402;128579.23;T1;1402;228943.55;0;1713247.1;119857.43
127137.91;28336.7;304076.38;ALCOBAÇA;1561063.51;246394.82;2869962;T1_1001;882247.02;T1;1001;336199.04;1207.38;5310599.2;515037.95
58862.69;8045.69;260614.35;ALCOCHETE;717898.35;75416.75;720114.6;T1_1502;295240.4;T1;1502;587087.85;27764.16;2189382.56;156236.07
3441.95;938414.17;9008.28;ALCOUTIM;23299.52;7127.15;1517808;T1_0802;3722.14;T1;0802;98992.32;0;2682157.24;103643.23
95243.6;371697.49;221338.97;ALENQUER;905903.89;172645.53;1782368;T1_1101;416675.79;T1;1101;434661.43;0;4641695.66;1147064.85
2043.03;24491.35;29994.69;ALFÂNDEGA DA FÉ;59166.82;10104.41;1394440;T1_0401;17024.69;T1;0401;107421.02;0;2009107.91;423588.72
6785.32;625904.51;34214.36;ALIJÓ;283871.98;33319.57;1447486;T1_1701;209552.73;T1;1701;229702.19;0;2722685.59;135720.91
51756.7;12731.15;49513.85;ALJEZUR;331695.98;23839.19;1154715;T1_0803;206586.24;T1;0803;313746.75;0;1845272.4;32383.52
7258.6;25200;25572.3;ALJUSTREL;230319.04;33261.75;1438173;T1_0201;164226.39;T1;0201;142857.77;0;1934679.53;98129.72
498077.78;92014.99;649281.32;ALMADA;4214920.16;664297.4;4256979;T1_1503;2403263.66;T1;1503;2169234.53;0;14342137.1;3608988.42
1837.83;1725.24;119888.42;ALMEIDA;178761.93;24707.39;1833513;T1_0902;32328.29;T1;0902;344667.2;0;3058987.96;700320.59
31860.22;812582.97;59575.2;ALMEIRIM;300629.78;85075.29;1377372.33;T1_1403;123025.1;T1;1403;391575.65;1093.97;3549497.18;667336.45
1750.42;88901.29;65116.27;ALMODÔVAR;121836.52;26511.15;2069271;T1_0202;28458.68;T1;0202;194616.06;0;2927621.82;452996.95
15231.49;207841.88;35757.91;ALPIARÇA;154572.62;26226.3;809202;T1_1404;74442.88;T1;1404;151466.8;2914.04;1514873.17;191789.87
6384.52;184453.26;30258.95;ALTER DO CHÃO;75332.93;13499.34;1037933;T1_1201;24600.69;T1;1201;124393.2;589.43;1486164.1;64051.71
5945.88;4781.73;21735.04;ALVAIÁZERE;84772.13;25806.31;1143593;T1_1002;31284.9;T1;1002;212590.26;0;1638381.16;192644.04
2775.7;214480.71;4170.74;ALVITO;27938.69;6759.69;805410;T1_0203;14232.56;T1;0203;83211.21;0;1170850.55;39809.94
478749.61;127328.72;447853.6;AMADORA;2868639.93;692863.02;4986930;T1_1115;1123922.23;T1;1115;2045197.18;125251.47;12821617.72;2793521.89
49752.84;311697.38;372508.2;AMARANTE;1053506.19;189873.81;3621480;T1_1301;441371.34;T1;1301;1792032.67;0;8070052.66;1291336.42
14336.74;386235.73;71718.89;AMARES;238216.72;68633.96;1401408;T1_0301;83527.13;T1;0301;306801.19;0;2781428.36;448766.72
22258.51;0;72745.13;ANADIA;317382.04;78097.74;2113227;T1_0103;128200.53;T1;0103;342692.88;16080.13;2925408.94;152107.02
24273.82;1822389.18;120943.25;ANGRA DO HEROÍSMO;541351.74;154973.08;2252866;T1_4301;241161.59;T1;4301;176414.67;0;5581800.23;788778.64
20887.76;926990.06;118553.65;ANSIÃO;269792.07;42610.33;1316586.42;T1_1003;87740.33;T1;1003;315664.27;0;3503226.94;674194.12
17225.48;613109.06;100593.14;ARCOS DE VALDEVEZ;321113.35;73553.55;2692812;T1_1601;129741.18;T1;1601;857899.46;0;4985790.7;500856.83
10389.39;449157.08;61629.02;ARGANIL;208200.07;26517.87;1581840;T1_0601;109663.79;T1;0601;364754.69;0;2805186.14;201234.3
7428.04;430472.24;49120.14;ARMAMAR;154229.22;18832.84;1150775;T1_1801;78759.38;T1;1801;252728.47;88.82;2703530.59;715325.66
27324.54;2524.97;36978.4;AROUCA;285975.9;69388.44;2121288;T1_0104;151129.95;T1;0104;437182.15;1154.57;3153349.34;306378.32
24545.98;209060;12172.26;ARRAIOLOS;132611.07;21956.59;1571985;T1_0702;73936.24;T1;0702;228542.88;0;2232877.1;90678.15
2824.53;721909.36;2701.82;ARRONCHES;19519.61;8508;990771;T1_1202;5485.26;T1;1202;151728.77;0;1971425.43;87496.69
14519.63;0;93665.65;ARRUDA DOS VINHOS;460430.55;59582.1;888690;T1_1102;192853.5;T1;1102;470484.42;99809.67;3082749;1263144.03
179128.06;80156.27;836365.88;AVEIRO;3490679.4;392275.45;2216037;T1_0105;1874215.2;T1;0105;1099643.08;208694.81;7577556.79;691041.04
