IMI;FINANCIAMENTO_UNIAO_EUROPEIA;TAXAS_MULTAS_OUTROS_IMPOSTOS;DSC_AUTARQUIA;IMPOSTOS_MUNICIPAIS;IUC;TRANSFERENCIAS_ORCAMENTO_ESTADO;ldk;IMT;CODIGO_PERIODO;CODIGOINE;VENDA_BENS_SERVICOS;DERRAMA_IRC;RECEITAS_TOTAIS;OUTRAS_RECEITAS
297483.83;3938.66;26991.12;POVOAÇÃO;542436.21;74869.03;3018644;T3_4204;127567.72;T3;4204;444473.53;15524.51;4047869.79;38377.39
873360.69;737390.79;124583.57;PRAIA DA VITÓRIA;1457807.69;327438.89;4915890;T3_4302;132424.54;T3;4302;222026.62;0;8701319.6;1368204.5
398662.52;112211.9;35603.39;PROENÇA-A-NOVA;584575.5;108692.34;4497417;T3_0508;41617.25;T3;0508;1338707.52;0;6681134.61;148222.69
431603.52;343829.39;139962.38;REDONDO;716947.31;98386.06;3340394;T3_0710;46995.35;T3;0710;902431.21;0;5623132.33;319530.42
721380.36;1284108.18;181893.2;REGUENGOS DE MONSARAZ;1908493.42;175199.31;3849417;T3_0711;786652.82;T3;0711;1793705.04;43367.73;12875374.4;4039650.76
598869.86;358701.35;173975.75;RESENDE;1119500.04;162196.83;4217130;T3_1813;94646.26;T3;1813;1051042.08;89811.34;7618011.01;871637.54
430641.87;0;243923.79;RIBEIRA BRAVA;998524.74;187207.63;3389652;T3_3107;136751.45;T3;3107;303912.5;0;5448471;756381.76
378002.63;1091192.88;351718.79;RIBEIRA DE PENA;891922.68;106558.96;3631995;T3_1709;55642.3;T3;1709;3556891.27;0;11489285.49;2317283.66
1132931.43;1000387.04;141116.93;RIBEIRA GRANDE;2179451.83;348214.2;6716421;T3_4205;392829.53;T3;4205;2620248.6;164359.74;13755154.81;1238646.34
1730076.9;881494.89;362467.76;RIO MAIOR;3271269.81;380204.84;4417659;T3_1414;294328.94;T3;1414;2634735.63;504191.37;14059737.07;2854577.74
370432.08;412224.87;92339.96;SABROSA;930635.66;94433.38;3521439;T3_1710;373430.24;T3;1710;801605.1;0;5846715.37;180810.74
904803.05;779128.25;277826.44;SABUGAL;1439950.93;195104.61;7459974;T3_0911;62216.83;T3;0911;1384034.79;0;12197343.08;1134255.11
1052539.91;248388.29;256004.82;SALVATERRA DE MAGOS;2054702.7;395259.98;3970197;T3_1415;220813.08;T3;1415;985337.69;130084.91;7961659.77;703034.09
838266.08;130360.24;194657.31;SANTA COMBA DÃO;1404949.98;195372.7;3200836.87;T3_1814;131299.7;T3;1814;718982.92;45354.19;5820135.85;365005.84
2425014.92;7230.7;1494019.72;SANTA CRUZ;5150314.69;750263.79;4534155;T3_3108;481016.26;T3;3108;2732337.84;0;13377105.93;953067.7
257315.44;456562.7;35414.72;SANTA CRUZ DA GRACIOSA;380002.37;75747.9;1990908;T3_4401;11524.31;T3;4401;247870.2;0;3232701.09;157357.82
80393.71;473402.97;9191.58;SANTA CRUZ DAS FLORES;138885.19;39536.03;1693539;T3_4802;9763.87;T3;4802;58836.09;0;2377698.92;13035.67
10087896.36;6377780.33;1481567.54;SANTA MARIA DA FEIRA;18564534.01;2586782.5;12846892;T3_0109;1889192.23;T3;0109;5098886.2;2519095.38;58766625.83;15878533.29
326989.76;86619.51;60429;SANTA MARTA DE PENAGUIÃO;542601.61;113467.71;3037406.6;T3_1711;41715.14;T3;1711;899197.83;0;5040812.82;474987.27
312933.46;0;59144.78;SANTANA;493398.75;103383.87;3945708;T3_3109;17936.64;T3;3109;34950.54;0;5048853.51;574796.22
5475356.44;169668.85;670662.42;SANTARÉM;9056708.42;1094052.48;9287145.21;T3_1416;1087744.62;T3;1416;2389099.63;728892.46;55583967.07;34681344.96
2092403.88;988793.82;152760.88;SANTIAGO DO CACÉM;3618215.95;557892.62;8361432;T3_1509;372964.65;T3;1509;3883275.18;442193.92;17697052.5;845335.55
3988080.61;3885423.84;612850.28;SANTO TIRSO;7849125.96;1204533.94;9922669;T3_1314;1059992.58;T3;1314;1943566.79;983668.55;27574191.04;3973405.45
1084763.68;187509.37;334162.66;SÃO BRÁS DE ALPORTEL;2095313.27;251449.22;2681478;T3_0812;424937.71;T3;0812;1631561.46;0;7278873.41;683011.31
1939150.34;6160266.03;132845.86;SÃO JOÃO DA MADEIRA;3527443.09;391710.43;3068622;T3_0116;516800.46;T3;0116;2398319.06;546936;16305910.17;1151259.99
350865.86;731227.21;148254.1;SÃO JOÃO DA PESQUEIRA;745343.96;100316.53;4345526.94;T3_1815;145907.47;T3;1815;778077.67;0;6949290.95;349115.17
915648.33;976210.73;133057.49;SÃO PEDRO DO SUL;1526136.28;269989.21;5702940;T3_1816;99772.64;T3;1816;1973935.27;107668.61;14339257.44;4160035.16
193352.68;64851.26;14665.94;SÃO ROQUE DO PICO;319925.26;78146.02;2254482;T3_4603;33760.62;T3;4603;262494.42;0;2952824.62;51071.68
286989.24;0;119086.35;SÃO VICENTE;521591.72;78701.6;3074418;T3_3110;36814.53;T3;3110;195838.42;0;4128845.42;336997.28
235059.08;150411.71;15555.1;SARDOAL;377971.42;58538.42;2540295;T3_1417;61577.23;T3;1417;541120.61;7241.59;4567032.73;957233.99
726586.36;219573.87;75781.28;SÁTÃO;1131504.39;215591.05;4005289;T3_1817;113545.7;T3;1817;837403.71;0;6539850.34;346079.37
