IMI;FINANCIAMENTO_UNIAO_EUROPEIA;TAXAS_MULTAS_OUTROS_IMPOSTOS;DSC_AUTARQUIA;IMPOSTOS_MUNICIPAIS;IUC;TRANSFERENCIAS_ORCAMENTO_ESTADO;ldk;IMT;CODIGO_PERIODO;CODIGOINE;VENDA_BENS_SERVICOS;DERRAMA_IRC;RECEITAS_TOTAIS;OUTRAS_RECEITAS
94877.12;1258502.94;97657.82;ABRANTES;514385.05;156780.39;2772438;T1_1401;165069.72;T1;1401;1274811.22;0;6253442.89;433305.68
125843.88;609025.84;285912.09;ÁGUEDA;1159616.15;170538.9;2351181;T1_0101;549135.2;T1;0101;613280.92;28186.08;5375684.7;642580.79
3033.53;211988.54;15078.12;AGUIAR DA BEIRA;29547.52;5218.39;1238703;T1_0901;6217.48;T1;0901;151208.17;0;2202370.41;570923.18
8798.88;265492.64;4330.38;ALANDROAL;70134.22;17450.23;1357305;T1_0701;36607.52;T1;0701;210936.97;2947.21;2080767.68;176898.85
53677.54;922650.71;72025.89;ALBERGARIA-A-VELHA;357475.75;113476.11;1427562;T1_0102;108887.64;T1;0102;396913.32;9408.57;3251011.02;146409.24
818432.09;-1237.17;497249.92;ALBUFEIRA;3312170.17;270398.44;1081557;T1_0801;1726089.72;T1;0801;4595408.56;0;9753379.66;765481.1
19797.09;44677.88;107487.67;ALCÁCER DO SAL;479973.97;51434.51;2278710;T1_1501;268014.77;T1;1501;468580.53;33239.93;3390652.04;118709.66
31572.25;230544.96;45928.18;ALCANENA;309884.15;62419.94;1166271;T1_1402;105144.78;T1;1402;260464.68;64819;2157531.33;190366.54
176169.12;321484.45;260073.82;ALCOBAÇA;1367983.76;292925.4;2681910;T1_1001;607998.2;T1;1001;319767.28;30817.22;5530826.81;839681.32
84422.73;417801.7;143313.46;ALCOCHETE;763063.06;85225.46;677061.6;T1_1502;239002.72;T1;1502;453816.19;211098.69;2553931.24;242188.69
3120.93;550108.07;6606.01;ALCOUTIM;27115.09;9515.47;1440243;T1_0802;7872.68;T1;0802;106747.19;0;2268521.51;144308.16
168705.34;618707.16;131265.86;ALENQUER;807583.83;188480.57;1631264.19;T1_1101;300933.72;T1;1101;292927.12;18198.34;4380658.02;1030175.72
3498.73;157475.91;37642.58;ALFÂNDEGA DA FÉ;98921.57;15170.93;1330560.55;T1_0401;40125.56;T1;0401;113041.07;2483.77;1966136.25;266137.15
