IMI;FINANCIAMENTO_UNIAO_EUROPEIA;TAXAS_MULTAS_OUTROS_IMPOSTOS;DSC_AUTARQUIA;IMPOSTOS_MUNICIPAIS;IUC;TRANSFERENCIAS_ORCAMENTO_ESTADO;ldk;IMT;CODIGO_PERIODO;CODIGOINE;VENDA_BENS_SERVICOS;DERRAMA_IRC;RECEITAS_TOTAIS;OUTRAS_RECEITAS
70321.9;80219.97;71871.63;ABRANTES;675191.48;194859.79;2697351;T1_1401;280692.96;T1;1401;1680673.01;57445.2;5551328.25;417892.79
180002.21;487498.18;97256.36;ÁGUEDA;848129.16;283519.1;1980895;T1_0101;154548.04;T1;0101;786489.3;132803.45;4770559.97;667548.33
1766.07;120731.05;14328.69;AGUIAR DA BEIRA;30062.75;11514.46;1169672;T1_0901;2453.53;T1;0901;176495.97;0;1515900.5;18938.73
5523;60365.42;3910.93;ALANDROAL;61497.72;23750.94;1234376;T1_0701;25545.5;T1;0701;331320.41;2767.35;1907161.22;219601.67
67481.48;0;48368.64;ALBERGARIA-A-VELHA;621419.55;151204.75;1358982;T1_0102;130293.32;T1;0102;1556063.66;224071.36;3758277.41;221812.2
1422873.34;11450.29;802070.75;ALBUFEIRA;4768879.05;342044.74;1230462;T1_0801;2104585.12;T1;0801;5228802.33;97305.1;12493406.86;1253813.19
584349.91;262551.69;84477.3;ALCÁCER DO SAL;1080426.97;62290.88;2216214;T1_1501;327084.79;T1;1501;414994.18;22224.09;4093057.11;118870.27
113064.52;9710.27;73633.98;ALCANENA;384164.68;81360.49;1134177;T1_1402;58286.22;T1;1402;330339.41;57819.47;2194867.19;336475.83
326099.39;256379.52;170569.37;ALCOBAÇA;1361860.56;362740.05;2589267;T1_1001;433101.34;T1;1001;1023237.53;69350.41;5901569.82;670825.21
99311.7;167004.17;199446.85;ALCOCHETE;600827.75;113098.19;612055;T1_1502;168190.12;T1;1502;459094.5;20780.89;2209171.15;370189.73
6775.42;27363.6;3615.84;ALCOUTIM;36278.21;11696.84;1401450;T1_0802;14190.11;T1;0802;82637.21;0;1657379.69;109650.67
239202.64;330979.13;223029.55;ALENQUER;968197.04;248387.42;1543293;T1_1101;257577.43;T1;1101;527318.92;0;4586103.51;1216315.42
8470.63;28593.37;64289.85;ALFÂNDEGA DA FÉ;99964.99;16433.21;1299918;T1_0401;10153.09;T1;0401;145353.38;618.21;2133970.17;560140.43
20123.36;16820.72;29325.29;ALIJÓ;182254.77;48439.56;1449513;T1_1701;61743.12;T1;1701;395864.7;22623.44;4781239.72;2736786.53
53105.81;9513.62;35539.17;ALJEZUR;419460.65;36861.05;1039374;T1_0803;293954.62;T1;0803;331787.48;0;1853639.31;53503.56
18200.5;203636.72;38738.55;ALJUSTREL;129047.82;47539.07;1328583;T1_0201;22155.12;T1;0201;343941.44;2414.58;2286172.72;280963.74
1110383.29;573957.93;644387.27;ALMADA;4415028.18;955846.27;3932235;T1_1503;1307503.8;T1;1503;1610269.39;396907.55;12354971.22;1823480.72
8657.53;296550.62;119479.06;ALMEIDA;164795.92;32129.08;1712190;T1_0902;4530.25;T1;0902;436818.62;0;2707281.18;96926.02
98711.81;114874.81;52194.76;ALMEIRIM;298761.16;121588.25;1298712;T1_1403;0;T1;1403;447889.65;26266.34;2604689.55;444451.93
7707.67;7390.68;55798.2;ALMODÔVAR;164227.2;38104.23;1911561;T1_0202;60587.09;T1;0202;189013.41;2030.01;2539303.49;267111.2
28607.34;0;28380.41;ALPIARÇA;119359.77;27937.42;747570;T1_1404;23833.45;T1;1404;170677.57;10601.15;1249138.36;211531.02
10224.54;128830.23;7140.98;ALTER DO CHÃO;63936.37;15578.07;955755;T1_1201;30748.43;T1;1201;176906.3;244.35;1534933.72;209505.82
18473.49;220463.72;18073.48;ALVAIÁZERE;85494.45;38854.32;1026258;T1_1002;10093.16;T1;1002;523180.64;0;1931698.04;76301.23
5051.48;1982.74;7172.41;ALVITO;73251.98;11198.8;744015;T1_0203;49829.29;T1;0203;127660.1;0;1081338.71;134428.89
514514.37;16009.39;412004.01;AMADORA;3186325.18;857354.56;6370333;T1_1115;1402452.24;T1;1115;2881095.19;0;15752520.14;3298757.38
168758.57;2062797.7;251507.38;AMARANTE;836818.67;282332.19;3345900;T1_1301;134220.53;T1;1301;1218164.14;0;8033387.94;569707.43
84996.03;72391.83;52376.95;AMARES;295155.31;100580.17;1294794;T1_0301;57202.16;T1;0301;294988.03;0;2438261.06;480931.89
100436.82;2763458.15;31191.02;ANADIA;478260.4;175331.03;1952256;T1_0103;146894.45;T1;0103;616361.88;24407.08;6254960.9;444624.47
58472.89;3697.5;128798.26;ANGRA DO HEROÍSMO;389520.21;202249.06;2452801;T1_4301;0;T1;4301;155116.94;0;3228707.34;227571.69
56465.34;10327.35;105984.8;ANSIÃO;294186.89;69537.42;1190826;T1_1003;37906.13;T1;1003;404410.41;24293.2;1987675.89;87925.24
37190.08;311877.91;76409.08;ARCOS DE VALDEVEZ;333838.05;116949.4;2519634;T1_1601;103289.49;T1;1601;932688.73;0;4560090.76;462052.07
46600.47;18986.32;95334.56;ARGANIL;216255.92;58620.74;1461375;T1_0601;15700.15;T1;0601;562645.39;0;2371495.93;112233.3
35926.28;97983;83962.47;ARMAMAR;159936.92;11451.52;1062798;T1_1801;25902.97;T1;1801;632618.03;2693.68;2577605.19;624269.24
52303.8;128836.19;33428.18;AROUCA;281638.36;99942.99;1959855;T1_0104;86414.67;T1;0104;586651.08;9548.72;3249196.51;292215.88
10167.86;375711.02;5998.41;ARRAIOLOS;116126.66;32588.99;1452195;T1_0702;64242.83;T1;0702;276494.84;3128.57;2352622.82;132095.3
2939.7;0;3386.9;ARRONCHES;43198.84;11330.85;909726;T1_1202;25541.39;T1;1202;139876.41;0;1286544.15;193742.9
55561.78;0;79803.91;ARRUDA DOS VINHOS;307900.57;88741.84;820921;T1_1102;59504.7;T1;1102;682833.86;24288.34;2149454.38;337798.95
354783.78;469907.89;993670.85;AVEIRO;2767783.82;528357.25;2000085;T1_0105;846555.51;T1;0105;759403.14;44416.43;6312097.22;314917.37
4250.27;121220.35;12931.38;AVIS;121980.61;22096.29;1263153;T1_1203;81282.84;T1;1203;215769.58;1419.83;1818418.37;96294.83
140122.03;0;255670.84;AZAMBUJA;1008704.76;300307.07;1193215;T1_1103;94634.57;T1;1103;558284.04;217970.25;3143979.48;383775.68
20688;157204.37;115771.3;BAIÃO;250278.39;82303.26;1783683;T1_1302;31515.83;T1;1302;366380.84;0;3006640.42;449093.82
366861.28;172204.33;506791.02;BARCELOS;2216039.72;687439.09;5631744;T1_0302;593999.13;T1;0302;887426.5;60949.2;10943311.83;2035897.28
378.37;5034.97;3957.68;BARRANCOS;17317.84;6327.95;745599;T1_0204;6653.84;T1;0204;57997.39;0;880978.04;55028.84
439420.54;326002.49;1187665.38;BARREIRO;2344658.79;394296.63;2290368;T1_1504;279969.04;T1;1504;1841354.22;43307.2;7109874.74;307491.24
88731.67;22278.44;116604.15;BATALHA;433922.93;102525.68;934650;T1_1004;98869.55;T1;1004;210191.44;27191.88;1878272.23;277229.42
119134.99;102541.92;59037.05;BEJA;721285.19;202994.19;2508603;T1_0205;331142.01;T1;0205;945332.2;8976.95;4510497.13;232734.82
19564.93;92223.23;6433.69;BELMONTE;85190.5;32381.54;910674;T1_0501;26810.34;T1;0501;169900.1;0;1294593.01;36605.18
483088.61;284204.9;52848.72;BENAVENTE;1124398.39;175208.52;1029111;T1_1405;388158.61;T1;1405;366337.02;25093.93;3268004.73;463953.42
60132.08;369681.59;127421.29;BOMBARRAL;350276.19;81793.47;817621;T1_1005;76688.38;T1;1005;406865.79;4240.97;2408126.34;463681.77
17679.44;211511.34;16351.18;BORBA;100454.6;37941.35;853179;T1_0703;24193.31;T1;0703;240670.88;4289.32;1730596.72;324780.9
8215.96;69188.86;41960.78;BOTICAS;90439.25;29650.73;1306452;T1_1702;10611.78;T1;1702;328144.48;0;2021508.13;227283.54
745621.08;4659825.09;705178.81;BRAGA;3856042.27;1117372.47;4803786;T1_0303;969136.91;T1;0303;1019054.44;318733;21329791.86;6991084.06
122611.95;347758.92;323136.99;BRAGANÇA;709283.33;195191.8;3289638;T1_0402;68342.59;T1;0402;2034985.15;0;6504285.1;122619.7
35658.35;358575.32;145058.03;CABECEIRAS DE BASTO;378977.27;84055.7;1592142;T1_0304;114205.19;T1;0304;254108.25;0;3099009.21;515206.37
57538.82;54132.68;39529.15;CADAVAL;255991.2;75300.24;1100676;T1_1104;83622.99;T1;1104;514839.22;0;2079175.4;153536.3
207288.63;304370.63;158550.36;CALDAS DA RAINHA;1282786.42;327990.66;1508355;T1_1006;588906.79;T1;1006;591703.6;49.98;3902986.71;215771.06
25401.72;45624.6;32486.62;CALHETA (MADEIRA);161560.86;58471.31;1485357;T1_3101;45201.21;T1;3101;246349.25;0;2113275.46;174383.75
12710.83;0;4981.22;CALHETA (SÃO JORGE);53690.78;20739.33;821532;T1_4501;14006.83;T1;4501;104637.05;1252.57;980402.87;543.04
207396.9;2165965.25;41845.3;CÂMARA DE LOBOS;439709.44;127569.69;1619442;T1_3102;62897.55;T1;3102;125365.66;0;4391708.78;41226.43
85461.45;32100.75;48728.83;CAMINHA;416326.52;115350.23;1421973;T1_1602;153963.47;T1;1602;1357494.91;12822.54;3509766.84;281871.66
18812.44;1373747.56;108666.93;CAMPO MAIOR;236659.24;50606.23;1024716;T1_1204;58573.64;T1;1204;415311.47;0;3248058.92;197624.65
133102.84;1609.8;115527.48;CANTANHEDE;1083835.8;218073.84;2137338;T1_0602;159670.43;T1;0602;545897.53;457461.21;4001227.79;232546.66
7445.18;29201.15;11641.03;CARRAZEDA DE ANSIÃES;78796.98;25994.55;1392756;T1_0403;33716.22;T1;0403;217391.94;0;1779153.58;61007.51
17587.46;36535.11;119853.97;CARREGAL DO SAL;234635.28;51334.53;930183;T1_1802;45859.32;T1;1802;93020.78;0;1398767.8;104393.63
87513.74;897457.43;83718.98;CARTAXO;390788.44;83318.64;1065678;T1_1406;55648.36;T1;1406;316760.33;80588.72;3308383.64;637699.44
2591628.64;86779.88;5330113.02;CASCAIS;17634166.35;1686304.65;3261120;T1_1105;8026120.04;T1;1105;2460445.44;0;34489826.62;11047314.95
18407.26;15945.51;44696.75;CASTANHEIRA DE PÊRA;127265.68;14579.1;707019;T1_1007;48790.47;T1;1007;133987.82;792.1;1014689;30470.99
146676.08;1593144.73;143350.84;CASTELO BRANCO;965853.51;287895.91;3818385;T1_0502;387930.68;T1;0502;1244312.75;0;9342638.79;1720942.8
29393.84;0;35419.63;CASTELO DE PAIVA;143615.86;69199.82;1313700;T1_0106;9602.57;T1;0106;307268.89;0;2171599.5;407014.75
7355.48;69555.81;10090.98;CASTELO DE VIDE;38377.09;15090.86;913116;T1_1205;4512.1;T1;1205;208375.6;1327.67;1345429.15;116004.65
110509.71;242883.67;39175.1;CASTRO DAIRE;251434.96;76211.57;1846860;T1_1803;25538.58;T1;1803;513481.2;0;3727044.99;872385.16
63446.02;107796.49;59002.65;CASTRO MARIM;303370;41663.32;807426;T1_0804;139258.01;T1;0804;585762.53;0;1877248.95;72893.93
13842.3;0;7473.23;CASTRO VERDE;247570.84;41114.77;1320847;T1_0206;20726.64;T1;0206;385994.4;164413.9;2145233.36;190821.12
19800.96;87254.67;114172.09;CELORICO DA BEIRA;194856.18;37458.47;1297791;T1_0903;21330.89;T1;0903;183291.75;2093.77;1931170.99;167977.39
43686.32;232910.29;55791.74;CELORICO DE BASTO;230604.21;88464.49;1758166.74;T1_0305;42661.66;T1;0305;504437.73;0;2942500.53;216381.56
27070.45;28638.53;5196.7;CHAMUSCA;96159.63;42998.96;1638066;T1_1407;10594.41;T1;1407;181845.4;10299.11;2128595.51;183885.95
108681.23;2005336.65;76052.17;CHAVES;415895.45;231162.05;3141216;T1_1703;0;T1;1703;1794345.97;0;8496338.25;1139544.18
18327.9;0;65093.24;CINFÃES;207533.35;84794.07;1843857;T1_1804;39318.14;T1;1804;90377.01;0;3188927.01;1047159.65
