codigoine;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital;despesatotal
1504;6019164.21;3479268.72;1673613.83;24892.9;841388.76;6926.92;43672.98;60311.74;91595.47;78677.85;779031.18;7079380.35
1004;1595428.77;426623.8;1000001.42;7000.44;161803.11;0;106297.92;10750.31;81049.37;30280.44;42654.37;1866461.18
205;3532393.03;1951002.78;1033133.49;20712.1;527544.66;886.4;64668.58;3319.8;76931.58;460615.78;289019.55;4427834.72
501;883653.88;229398.42;518748.31;8948.13;126559.02;0;213904.2;1168.5;70977.91;59432.28;125163.4;1354300.17
1405;2417305.88;1425598.84;731708.23;5697.3;254301.51;11393.21;28997.21;0;0;472.37;279354.69;2737523.36
1005;1650896.05;787167.95;741616.39;46045.83;76065.88;0;442824.24;63603.73;41896.55;41346.15;165421.62;2405988.34
703;1136381.8;724823.46;296084.37;44941.04;70532.93;28000;654440.13;13307.44;4658.09;34756.98;192297.23;2063841.67
1702;987184.04;527285.79;382855.67;12590.55;64452.03;5704.2;0;13280.09;6210.06;127426.05;255823.85;1395628.29
303;15210275.33;6072459.93;3737974.47;241572.14;5158268.79;0;1050983.2;0;498932.31;925995.29;3555621.29;21241807.42
402;4026568.77;1569022.72;2144773.47;47409.73;265362.85;30501.79;1777057.14;90238.06;23817.52;317678.53;1495643.51;7761505.32
304;1765595.42;1105912.6;359001.94;33839.94;266840.94;244886.26;83776.97;76220.57;293196.79;83916.26;566978.52;3114570.79
1104;1802212.76;849277.34;827477.15;15367.04;110091.23;0;14938.1;10983.33;102298.15;18272.31;58315.36;2007020.01
1006;2897191.78;1145328.54;1271816.34;19878.63;460168.27;40000;14667.56;0;609028.36;187031.92;323382.45;4071302.07
3101;1937708;493679.59;677005.42;659618.09;107404.9;0;1878.67;18615.55;2765172.76;95883.91;238373.58;5057632.47
4501;600209.75;417586.62;130091.03;42869.99;9662.11;0;0;16323.58;45346.23;53570.16;228427.78;943877.5
3102;2938271.47;815582.21;1896344.91;24366.23;201978.12;18030.8;0;123016.76;2670771.77;72117.57;268137.54;6090345.91
1602;2682536.63;1102790.55;1371512.14;91876.27;116357.67;0;217641.01;89748.08;268614.5;107672.11;191294.14;3557506.47
1204;1412142.71;778408.65;408426.93;27825.95;197481.18;5444.44;8672.24;3077.56;26309.88;57863.35;24313.49;1537823.67
602;2077970.78;1086127.76;668120.92;90990.16;232731.94;182501.41;199886.48;1005.04;151038.84;126477.81;447857.92;3186738.28
403;898035.99;568374.12;195399.97;9012.03;125249.87;0;122292.66;0;0;753.57;211180.88;1232263.1
1802;1073053.13;466034.15;423257.07;11235.48;172526.43;17500;5603.34;1275.01;164941.28;5737.78;155460.32;1423570.86
1406;1758424.33;1325672.14;279460.54;35272.96;118018.69;0;3241.53;0;0;112384.57;198241.09;2072291.52
1105;22363924.22;7359047.65;8847564.15;83652.92;6073659.5;10445;904625.89;0;867156.16;1034289.78;1258808.61;26439249.66
1007;570764.53;327611.66;140216.34;50391.01;52545.52;0;14488.32;0;3275.49;3729.02;31066.46;623323.82
502;3618379.46;1591782.17;1148540.76;1958.01;876098.52;740809.07;1375681.31;94761.4;1045355.18;701949.04;889163.61;8466099.07
106;1711156.37;702167.69;705986.11;73696.29;229306.28;259.46;870.54;11146.3;22160.08;60193.2;3018.69;1808804.64
1205;967354.51;550286.8;348091.06;0;68976.65;0;3770;50643.3;25045.66;102800.31;20464.73;1170078.51
1803;2241191.12;1021954.71;969153.14;26276.79;223806.48;22591.65;8165.66;25533.89;212872.41;38980.89;184329.61;2733665.23
804;1998760.68;628319.26;1059669.24;4779.43;305992.75;11313.39;0;3226.29;3783.07;3623.58;60217.26;2080924.27
206;1722066.15;870350.86;569729.75;15047.75;266937.79;4394.22;2089.61;9615.69;26199.76;66797.76;212667.22;2043830.41
903;1351200.37;776648.32;388712.78;33574.59;152264.68;16000;41385.31;0;10077.84;27397.62;117803.36;1563864.5
305;2292284.92;1103929.56;939735.41;18060.41;230559.54;18603.42;2507.76;973.22;628414.07;185548.05;417315.77;3545647.21
1407;1745750.43;817923.67;679371.92;53525.71;194929.13;44237.74;241036.66;959376.15;976968.51;399947.8;868147.17;5235464.46
1703;8080781.76;2357641.73;5019706.18;330315.15;373118.7;0;465646.43;456283.48;1102940.85;990740.03;897964.76;11994357.31
1804;2084575.95;978838.4;757865.98;449.93;347421.64;24673.28;225283.37;119808.82;67836.78;161007.18;90196.31;2773381.69
603;12478713.97;6084395.91;3383164.74;192149.5;2819003.82;657989.36;198428.04;0;284535.55;945136.12;2448252.32;17013055.36
604;1827654.43;768372.41;969270.64;10526.03;79485.35;0;109749.58;32999.48;13662.54;252108.21;172922.63;2409096.87
1408;876838.29;484321.84;307068.77;27527.05;57920.63;11673.08;182115.27;5179.79;3955.58;77442.67;268229.88;1425434.56
1409;2339579.96;1379865.97;713625.81;7485.11;238603.07;5035;42541.16;6350.02;58179.97;141035.36;85376.15;2678097.62
4901;179348.14;117029.15;51818.04;1880.45;8620.5;0;0;204589.62;64352.3;57476.73;48510.76;554277.55
503;3876533.29;1287292.13;1798138.96;155212.45;635889.75;157692.19;736178.1;12208.26;1084071.12;710738.32;1767747.78;8345169.06
1206;1043741.14;468151.61;442324.88;19216.1;114048.55;0;16160.88;28778.21;32474.87;584340.59;128014.8;1833510.49
207;843033.62;474811.6;251807.86;5137.34;111276.82;0;0;25674.74;628.34;44977.56;54626.51;968940.77
1207;3304675.99;1302162;1376936.22;5805.55;619772.22;290757.42;257937.89;2344.29;832355.89;246613.16;63483.05;4998167.69
1410;2928987.9;1182703.56;1377602.66;66805.88;301875.8;0;81351.61;706342.18;114831.07;317945.47;202748.82;4352207.05
107;3640055.05;2132268.5;1156370.78;22151.18;329264.59;269280;770188.95;5015.22;364560.29;1192578.3;238357.65;6480035.46
306;2227412.95;901081.33;816862.14;10086.41;499383.07;75000;271622.24;0;507416.1;338352.9;316104.95;3735909.14
108;2186599.11;1091378.61;761935.26;20812.17;312473.07;58143.3;394362.92;64821.4;266500.57;307888.06;342935.1;3621250.46
704;2778550.55;999632.24;1353754.12;82695.13;342469.06;0;718658.78;15556.01;74437.54;954765.71;184741.23;4726709.82
705;5492184.96;4011333.11;1047309.13;254046.49;179496.23;7749;20691.18;0;0;108069.87;2084816.39;7713511.4
307;3504766.61;1803357.11;765541.84;28191.08;907676.58;0;67488.81;35436.8;73472.73;29350.53;1253468.76;4963984.24
805;3571505.91;3054378.81;330079.49;43782.75;143264.86;2715;89676.72;0;42438.76;87877.37;865517.44;4659731.2
1303;4905250.77;2468108.97;1590205.28;10026.53;836909.99;347550;602459.9;244464.92;158398.93;407256.82;354173.34;7019554.68
