codigoine;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital;receitastotais;transferenciasorcamentoestado;financiamentouniaoeuropeia;impostosmunicipais;imi;imt;iuc;derramairc;taxasmultasoutrosimpostos;vendabensservicos;outrasreceitas;despesatotal
1115;60322545.6;27249876.51;22845747.59;90787.06;10136134.44;762536.25;1415303.84;1063329.77;560551.05;906239.7;5271374.66;55021252.68;13725250;187036.03;25065768.41;16420916.24;2774309.04;2473801.24;1906785.72;1489956.17;7746192.03;8297006.21;70301880.87
1301;20008282.89;8444622.74;8610164.01;155746.27;2797749.87;2553.73;1935208.34;66020.09;1400075.19;886625.28;3667810.93;20961683.78;10792026;571771.9;4949677.98;2891803.84;577855.87;820413.71;0;659604.56;2808520.02;1839687.88;27966576.45
301;8571376.3;3660653.21;3578060.31;79668.6;1252994.18;30890.17;502806.52;195664.61;423195.95;635428.32;1710135.26;8714557.83;4130802;464334.46;2036183.9;1229191.77;333878.34;319630.59;0;153483.2;1097696.19;985541.28;12069497.13
103;10418595.98;4140704.79;5065121.25;156013.92;1056756.02;16400;617417.03;726252.12;1268482.94;1323259.86;1515846.55;12677076.99;6204708;29166.31;3095494.72;2013720.49;361145.22;519540.11;105956.25;95132.65;3148026.03;199681.93;15886254.48
4301;10414928.56;4701923.75;3457963;94638.05;2160403.76;521405.8;1076870.2;72336.19;2552813.57;1130188.86;3533118.96;13828541.42;7305640.09;2229822.74;2895022.05;1811398.47;357254.33;398797.49;0;327571.76;558775.76;839280.78;19301662.14
1003;6214938.72;2196597.2;3189846.89;261283.88;567210.75;28710;190042.99;81909.53;964151.23;551105.8;2254876.65;7756592.94;3796606;279877.81;1986100.21;1056237.75;195289.1;191182.05;183503.7;359887.61;1372992.56;321016.36;10285734.92
1601;13526480.85;4951419.81;7043215.98;86952.33;1444892.73;552976.19;1087015.44;496188.5;1699780.27;1533574.86;2989424.81;17719172.14;8029251;2651893.01;2443922.77;1568700.32;288104.84;358226.99;0;228890.62;3197626.72;1396478.64;21885440.92
601;7571554.13;3224675.71;3162890.01;59393.09;1124595.32;12132.5;147366.92;178061.14;1106012.57;328298.34;1743576.36;8271608.52;4482504;166247.23;1688409.71;1019204.97;205202.67;166296.52;0;297705.55;1707856.63;226590.95;11087001.96
1801;5994872.83;3152687.46;2517484.29;206185.39;118515.69;101615;578158.83;4786.39;368103.74;551177.36;1298789.41;6815305.61;3878941.52;344141.99;852943.38;411387.3;111891.01;82563.74;82142.84;164958.49;749866.45;989412.27;8897503.56
104;9853050.06;3402696.72;5127325.08;72266.53;1250761.73;326075.49;1102670.03;210054.25;1664685.75;2455059.57;1449342.22;11694227;5613200;2200554.9;1908174.04;1142750.92;208517.19;298116.79;176440.68;82348.46;1318067.04;654231.02;17060937.37
702;6117826.36;2697964.88;2388834.02;47325.46;983702;10339.67;144602.24;226340.65;0;362275.56;1135666.46;6484018.2;4609952.99;165335.39;768436.87;408958.81;176255.91;93817.79;54711.12;34693.24;803341.33;136951.62;7997050.94
1202;3558159.72;1766276.24;1252762.75;11751.41;527369.32;33096.02;1930526.44;27269.17;36272.58;748682.36;335091.16;4745614.96;2858517;918820.48;284262.18;147497.44;85929.62;41098.33;0;9736.79;352255.17;331760.13;6669097.45
1102;7914035.74;3597725.07;3669184.03;109701.56;537425.08;37000;51162.07;69320.31;448348.64;303173.51;852039.11;7043282.66;2587689;23747.2;1993633.72;1170101.87;196698;241930.82;218886.76;166016.27;1954213.39;483999.35;9675079.38
105;29935766.99;12899822.29;11810527;1213371.74;4012045.96;2235965.73;1754690.1;263055.92;645675.04;3853274.74;9580176.96;39159764.48;6790644;1958264.99;19491309.68;11689067.37;2279898.06;1443437.49;2261216.53;1817690.23;6970538.27;3949007.54;48268605.48
1203;6203024.74;3280682.43;2355749.2;91251.49;475341.62;1768;24109.66;0;2592.23;940586.55;564681.37;5887891;4002136;450366.15;374537.21;226841.52;56233.18;59302.9;25168.23;6991.38;732973.86;327877.78;7736762.55
1103;10992783.71;5502130.6;3156498.66;197843.47;2136310.98;0;95285.3;164370.22;204337.57;668730.74;2238887.46;10664776.77;3796740;4228.22;4673181.65;2068634.58;731915.42;1375286.11;54148.37;443197.17;1151833.11;1038793.79;14364395
1302;9957444.77;4752682.69;3900031.68;47699.93;1257030.47;0;162113.45;306333.03;813607.29;476279.25;1303649.5;9962158.61;5746086;297101.79;1426456.58;665914.06;175682.82;247329.3;0;337530.4;885634.47;1606879.77;13019427.29
302;33964876.48;13691541.85;14564167.19;271799.67;5437367.77;116032.88;472752.37;580579.77;3192687.74;1217718.69;12189199.14;37062103.2;17880624;1406863.84;12698700.58;6697065.59;1603275.18;1786528.54;1378871.78;1232959.49;3715736.57;1360178.21;51733847.07
204;3119873.72;1846855.59;449943;20409.13;802666;2744.95;12621.1;0;19233.83;43059.44;396418.48;2859334;2348910;69987.03;123563.36;88538.45;5723.29;18842.56;0;10459.06;145256.44;171617.17;3593951.52
1504;29927749.9;14239908.54;11600756.87;370339.68;3716744.81;94401.86;201678.59;830588.19;1142774.9;1822563.08;4111167.3;28140928.84;7218167;329991.39;13431852.96;7434961.61;709019.62;1148216.59;38400.05;4101255.09;6569837.45;591080.04;38130923.82
1004;7791566.82;1987465.56;4733589.77;13602.46;1056909.03;5350;122798.13;774999.07;840987.07;433383.96;860188.77;7092452.97;2969055;34063.13;2782742.72;1341023.63;229357.66;338702.09;338855.17;534804.17;942708.83;363883.29;10829273.82
205;17802306.94;8064964.83;6732722.53;94819.53;2909800.05;22770.24;711196.14;12932.76;520024.15;634349.28;1862831.27;16001012.67;7948098;246092.48;4381958.74;2614419.1;520162.28;566167.61;426370.67;254839.08;2952612.79;472250.66;21566410.78
501;4843416.81;1123876.66;3044909.15;37356.99;637274.01;129108.73;490931.64;67378.01;389123.49;211170.93;892087.68;4475835.07;2846327;71335.41;499084.35;365047.6;31437.31;73316.51;0;29282.93;447174.16;611914.15;7023217.29
1405;12749951.73;5814464.73;4619392.15;7314.33;2308780.52;0;501335.39;78096.05;346563.05;191700.29;1225558.39;10964563.32;3264057;0;5174144.15;3252981.97;735475.36;489435.66;490424.11;205827.05;1594181.06;932181.11;15093204.9
1005;7888497.27;3447306.7;3915883.03;158885.12;366422.42;0;34132.52;129128.87;103159.64;494821.47;461179.95;6515149.5;2689011;14931.95;2026919.1;1237868.59;291942.73;215250.51;27204.04;254653.23;1592399.7;191887.75;9110919.72
703;5755967.03;2987887.58;2223890.72;204185.25;340003.48;18646.43;66319.45;98708.34;36538;202519.87;1005310.04;5254002.05;2699253;11059.29;893060.56;542850.31;100506.53;97851.36;34789.67;117062.69;869230.96;781398.24;7184009.16
1702;5742889.85;2452364.88;2195971.11;9615.4;1084938.46;29716.65;254357.66;63957.14;642123.92;428658.85;730849.46;7027196.51;4137767.76;573679.72;628127.59;382045.55;19511.49;81492.48;0;145078.07;1402332.47;285288.97;7892553.53
303;62248925.66;23723998.32;18815808.59;338447.65;19370671.1;0;3946449.24;14977.18;2113771.16;1807880.37;15297755.07;65781854.97;16171781.95;1970592.52;28804493.92;15326449.64;4696246.44;3318705.49;3613539.12;1849553.23;3550002.97;15284983.61;85429758.68
402;19513607.58;6653559.82;11347881.59;161492.64;1350673.53;136325.38;994977.5;590157.85;1308555.07;1869258.01;4000563.21;23422931.83;10429164;1043509.32;5596428.74;3247465.12;459581.85;568957.89;0;1320423.88;5905399;448430.77;28413444.6
304;9494327.82;4561984.25;3910626.33;126788.35;894928.89;83829.7;208140.43;229087.73;1185060.99;601770.49;1062438.28;9752980.74;5078007;526253.84;1724761.85;835620.68;185576.52;247231.35;55020.69;401312.61;1044243.69;1379714.36;12864655.44
1104;7899521.08;3625387.61;3649477.81;32577.13;592078.53;0;691420.66;55194.23;372159.24;232876.78;416930.25;7246080.23;3512655;352299.46;1581957.77;1137711.47;142648.16;205762.01;0;95836.13;1468312.25;330855.75;9668102.24
1006;15912391.36;5210215.62;7646229.9;95295.05;2960650.79;304099.26;1267242.39;9056.41;1523221.75;1959629.87;3175861.78;17402877.78;5084874;1902324.96;7947453.67;4791573.03;1448286.33;930749.89;152614.42;624230;1793169.26;675055.89;24151502.82
3101;5760612.17;2364750.88;2528987.8;103833.82;763039.67;0;57914.45;28555.44;1373789.19;526639.96;1682191.2;7317122.83;4678884;175184.76;1470252.95;807134.83;324518.09;172199.59;0;166400.44;952933.13;39867.99;9429702.41
4501;2454679.64;1651450.89;625797.5;107268.04;70163.21;0;28848.49;16537.71;1113849.6;117087.8;1165565.47;4407960.17;2521098;1113267.93;460302.48;317448.2;66793.38;49485.33;8974.01;17601.56;283617.87;29673.89;4896568.71
3102;6672768.22;3667697.88;2067879.73;237133.97;700056.64;145431.98;68702.87;44390.92;3022549.66;649561.38;3080928.94;8939034.24;5571702;437259.41;2411160.93;1629851.08;165872.71;368980.92;0;246456.22;354231.91;164679.99;13684333.97
1602;11324376.56;5042743.92;5137551.46;130637.23;1013443.95;0;875804.25;492525.15;1698207.33;1615164.92;1222879.58;13164092.61;4375710;2264722.73;3345544.42;2117971.38;450360.51;309234.03;143200.26;324778.24;2597970.6;580144.86;17228957.79
1204;6407376.8;3117235.07;2399134.54;21255.35;869751.84;1185835.69;34343.15;33959.95;1318372.45;924577.03;199074.57;7138575.87;3232116;1459982.6;1163862;465873.44;136931.74;145390.96;129926.55;285739.31;793505.03;489110.24;10103539.64
602;12339581.86;4953018.6;4502675.9;239377.14;2644510.22;95770.7;3379480.08;16866.35;1219456.41;1000328.57;5191619.89;16083408.21;6839244;1668666.87;5780833.51;3705890.12;563347.33;611165.1;644646.12;255784.84;1379973.32;414690.51;23243103.86
403;5161895.04;2413624.27;1734977.87;17467.89;995825.01;260768.53;809027.11;5865.87;697642.1;592858.83;941565.12;6300949.64;4364478;743312.16;518700.23;341324.35;60120.18;79461.21;0;37794.49;418706.53;255752.72;8469622.6
1802;4584018.11;2168356.84;2036882.69;26961.97;351816.61;31697.19;2874.63;49207.26;858485.39;287615.05;706873.45;5104538.23;2961666;460831.99;1125577.27;600432.59;83078.69;149721.37;0;292344.62;343249.38;213213.59;6520771.08
1406;14977787.26;6380388.08;5677802.23;1799317.03;1120279.92;39166.6;1170000.54;49600.71;63700.27;2455327.13;2560458.78;17761855.83;3512185.54;233368.12;3323988.42;2200248.94;357600.1;400396.64;194262.77;171479.97;1404612.4;9287701.35;21316041.29
1105;126081344.2;32331721.66;75430371.14;1232722.13;17086529.24;1495204.54;3390143.72;113490.74;3623327.7;6045433.93;8794312.64;107729372.09;10319368;333387.79;87799082.88;34655876.77;30980786.01;4594227.64;1300991.61;16267200.85;4982288.78;4295244.64;149543257.4
1007;3215629.32;1316918.58;1046142.63;434517.35;418050.76;0;27645.56;0;11756.59;118176.15;1364671.29;3442283.76;2244231;9192.88;540197.68;316368.78;33501.52;38501.93;11494.55;140330.9;597937.26;50724.94;4737878.91
502;18286843.27;6737250.64;8103482.37;84235.96;3361874.3;1187533.61;2314057.94;456284.3;4429373.25;2186189.73;3615083.19;24409375.26;11845803;774395.52;6950901.83;4686941.71;1011426.88;879642.63;0;372890.61;3026685.34;1811589.57;32475365.29
106;7471460.71;2992139;3142761.08;291120.5;1045440.13;0;4778.47;153175.49;444185.75;153319.71;8496553.58;6813748.55;4183380;182480.18;1068918.9;612794.54;121578.45;216256.93;0;118288.98;875390.72;503578.75;16723473.71
1205;4135219.48;2348742.31;1420151.72;2657.88;363667.57;243160.48;73869.02;26081.96;165734.99;400879.22;328896.99;4264699.47;2873385;136354.98;391301.05;262157.15;36878.35;48394.21;8103.35;35767.99;558683.48;304974.96;5373842.14
1803;9744542.99;3858605.74;4329925.14;18415.43;1537596.68;138420.58;785643.98;245366.85;1419690.6;577035.34;742311.97;10179642.81;6024978;31106.04;1529237.84;1044314.14;59027.12;223591.15;0;202305.43;1411485.24;1182835.69;13653012.31
804;9124697.16;2592069.15;5306374.18;31589.08;1194664.75;91012.31;327107.04;209171;1573241.92;793922.84;651495.83;8208596.94;2411991.91;839973.83;2948358.03;2008086.98;726037.42;106775.26;0;107458.37;1909618.02;98655.15;12770648.1
206;7661435.52;3619208.21;2760994.75;26964.57;1254267.99;108551.64;164614.27;18704.56;428907.14;877481.4;1045225.91;7392586.33;4173516;697878.6;1324469.93;424147.29;85335.36;117712.39;617042.29;80232.6;981173.24;215548.56;10304920.44
903;7009863.82;3262991.98;2816841.23;343122.22;586908.39;0;104907.68;61203.2;516388.25;223327.11;1091897.25;6600613.8;4114386;125312.87;1352629.17;722830.99;74927.48;112195.46;104320.96;338354.28;429102.87;579182.89;9007587.31
305;10077731.53;4593184.88;4086756.31;411444.24;986346.1;133354.57;1512600.89;0;75803.27;1253580.34;1788088.82;11823178.1;5615532;2431939.21;1600683.84;968401.64;188076.13;270004.75;0;174201.32;1522710.5;652312.55;14841159.42
1407;6446846.88;2999171.91;2224312.72;66544.65;1156817.6;66700;227069.69;0;218295.15;510499.3;1441851.98;7215636.52;5185611;0;993973.64;584771.33;106374.19;125137.02;112680.38;65010.72;539232.39;496819.49;8911263
1703;22223727.1;8499504.92;9377505.35;2815579.42;1531137.41;26782.18;951342.99;328572.14;3770813.11;3059805.53;5875962.17;26297374.93;9996030;2617548.56;4953035.45;3176273.51;679836.5;685943.93;8533.73;402447.78;6386854.65;2343906.27;36237005.22
1804;10580386.9;3775127.59;4600786.67;22223.41;2182249.23;51497.65;162222.02;245955.5;1248071.97;1636671.77;520073;11456585.83;5950111.31;1419954.97;1265116.41;775111.75;118841.16;234970.61;0;136192.89;242782.3;2578620.84;14444878.81
603;55509639.9;25737993.86;18177734.43;637605.47;10956306.14;798181.88;895490.54;26128.28;435351.32;12604773.58;7276024.26;55066735.02;12749589;1973170.66;32720975.87;18651957.96;4613347.27;2689213.69;910563.17;5855893.78;5002207.56;2620791.93;77545589.76
604;8422791.12;3284280.43;4251504.02;39824.74;847181.93;0;17956.94;311834.65;293673.4;1770061.1;883593.73;8532577.07;3113712;498710.54;1801197.61;1083325.52;284204.61;265855.45;0;167812.03;2534392.09;584564.83;11699910.94
1408;4081590.39;1877760.5;1625174.41;50851.97;527803.51;46841.95;210554.61;33942.13;45930.86;176336.72;691286.03;3870033.51;2416104;192986.31;435663.91;279978.1;44426.13;63560.29;5465.9;42233.49;634432.34;190846.95;5286482.69
1409;11198782.85;5617823.12;3728678.44;47177.69;1805103.6;941348.04;385458.03;139514.1;1188483.46;1791216.38;715213.53;12771276.71;7526961;524273.09;2261827.22;1223952.7;362316.76;264557.24;229046.53;181953.99;1406715.82;1051499.58;16360016.39
4901;896007.93;481034.89;388485.86;3736.88;22750.3;40892.75;205265.64;127796.34;37852.59;294590.37;144858.32;1456715.02;1109484;61979.96;22474.24;14867.88;102.5;6361.16;0;1142.7;10810.55;251966.27;1747263.94
503;15592979.38;5822273.63;6789994.15;393790.85;2586920.75;256426.64;1169658.52;96236.23;1405179.22;969776.49;7217242.69;20119406.5;9372722.88;800281.15;6271509.86;3886093.67;614452.43;728734.05;384013.36;658216.35;2289128.22;1385764.39;26707499.17
1206;5062227.97;2095599.54;2405233.79;20676.92;540717.72;0;42760.79;171176.41;260581.02;565103.25;943794.02;5513434.14;3609620.8;211990.44;312126.85;243917;7360.94;44803.81;0;16045.1;979377.72;400318.33;7045643.46
207;3979906.21;2100880.81;1388803.02;19912.15;470310.23;0;211449.74;259085.28;269196.44;456660.93;614092.88;3785433.97;2344122;100896.69;465079.3;211508.45;64316.27;56731;28136.63;104386.95;499491.12;375844.86;5790391.48
1207;16161003.88;4434078.74;7632565.97;8852.19;4085506.98;747271.99;286857.55;7132.35;623901.45;5712607.37;425342.65;16205581.3;5957163;3757791.22;2714128.33;1745965.66;481298.35;329555;60893.95;96415.37;1628763.57;2147735.18;23964117.24
1410;9856258.46;5005663.77;4159856.06;250844.13;439894.5;5569.09;1192869.69;9082.91;1947917.39;861349.28;1412827.25;10863263.58;2437776;1864207.4;2793056.61;1824068.5;200746.62;326376.97;101524.69;340339.83;2189040.01;1579183.56;15285874.07
107;19074881.66;9067611.33;8767596.27;292447.7;947226.36;164034.08;2316624.09;878000.95;276130.28;2860127.27;4894226.18;22763433.03;4249107.24;3352068.73;6688994.67;3301273.36;433004.94;501725.51;200647.34;2252343.52;3682283.36;4790979.03;30464024.51
306;13291462.39;4290443.6;5717276.9;39866.62;3243875.27;542781.67;338277.96;0;1442612.26;505117.17;1578330.99;14195530.18;4885425;1753779.47;5385089.22;3283646.42;977757.93;623985.35;0;499699.52;1440920.52;730315.97;17698582.44
108;9668389.87;4208946.93;4368353.09;84278.8;1006811.05;550536.9;508596.3;419814.61;926683.8;726799.23;2731512.62;11736196.43;5174856;478034.93;3792583.03;1842863.65;146713.17;436195.29;588719.77;778091.15;1322982.21;967740.26;15532333.33
