codigoine;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital;receitastotais;transferenciasorcamentoestado;financiamentouniaoeuropeia;impostosmunicipais;imi;imt;iuc;derramairc;taxasmultasoutrosimpostos;vendabensservicos;outrasreceitas;despesatotal
1401;3553330.28;1642254.18;1312212.34;76007.67;522856.09;25423.98;553008.3;15344.58;142997.04;205372.67;454277.67;4594378.99;3043722;29054.67;685735.44;77565.74;351706.45;125671.37;0;130791.88;551927.27;283939.61;4949754.52
101;4143552.91;1866327.74;1721711.86;227.27;555286.04;24339.25;8388.53;75639.89;466071.98;444469.35;213363;5226347.4;2537597;0;964892.06;144585.37;448721.06;179349.57;7499.66;184736.4;1131089.91;592768.43;5375824.91
901;833542.08;416192.54;317188.87;17011.05;83149.62;7500;7114.3;43893.69;140261;4511.47;143637.39;1496275.02;1327853;833.54;44218.71;9457.08;7429.73;9880.58;0;17451.32;111236.89;12132.88;1180459.93
701;1282139.29;868135.16;321254.17;39158.1;53591.86;0;9520.23;41089.12;27227.62;23789.78;62882.19;1831347.29;1488702;5129.48;61109.63;4942.95;32127.75;14666.43;5426.8;3945.7;153829.21;122576.97;1446648.23
102;1981164.09;1046928.94;828823.78;7785.94;97625.43;0;224659.33;34950.71;516496.12;101967.78;70509.14;3119344;1565703;568365.14;445727.65;36809.49;248244.24;91251.48;32739.68;36682.76;424827.36;114720.85;2929747.17
801;10641034.42;5219338.56;4547836.51;27970.25;845889.1;0;362416.69;328284.63;621574.65;264454.7;28340.62;12287223.48;1244578;406138.84;4153989.05;794938.27;2829274.12;214388.63;0;315388.03;3359839.7;3122677.89;12246105.71
1501;2538462.35;1471036.88;752416.9;3616.97;311391.6;1049.89;409930.54;51270.91;289395.12;57298.23;128728.33;3534707.63;2513913;314118.58;322497.35;35214.54;117203.89;41573.49;41719.56;86785.87;282279.24;101899.46;3476135.37
1402;1336000.28;687988.97;408350.43;30897.5;208763.38;22586.91;636.94;2236.6;40535.99;82413.13;225518.44;1929646.21;1266258;34403.88;191979.99;13366.6;60715.2;49651.02;22914.26;45332.91;298603.81;138400.53;1709928.29
1001;3397734.62;1615895.81;1111992.05;47364.46;622482.3;178500;28248.4;4801.44;248125.52;283125.69;597531.91;4921425.31;2990361;0;1282160.33;155006.74;584216.59;209036.57;33673.46;300226.97;388247.65;260656.33;4738067.58
1502;2425237.07;1598869.4;602380.9;7209.77;216777;0;156837.03;25973.2;81556.76;84366.92;80330.89;2217676.52;741608;8264.26;1034759.14;312313.3;426090.16;66345.78;52675.82;177334.08;392981.71;40063.41;2854301.87
