codigoine;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital;receitastotais;transferenciasorcamentoestado;financiamentouniaoeuropeia;impostosmunicipais;imi;imt;iuc;derramairc;taxasmultasoutrosimpostos;vendabensservicos;outrasreceitas;despesatotal
1401;16442494.47;7060234.33;5516997.54;133571.48;3731691.12;332.1;1694694.54;975458.75;1790604.08;635371.29;2239398.51;5551328.25;2697351;80219.97;675191.48;70321.9;280692.96;194859.79;57445.2;71871.63;1680673.01;417892.79;23778353.74
101;16620453.87;7426086.26;6513734.94;80704.3;2599928.37;134657.29;2380630.2;205637.3;2068009.11;1983587.56;2470070.39;4770559.97;1980895;487498.18;848129.16;180002.21;154548.04;283519.1;132803.45;97256.36;786489.3;667548.33;25863045.72
901;4602606.6;1975710.4;2086591.12;25487.32;514817.76;15000;405663.81;510357.07;2117687.59;374660.84;500699.08;1515900.5;1169672;120731.05;30062.75;1766.07;2453.53;11514.46;0;14328.69;176495.97;18938.73;8526674.99
701;6792166.61;3359984.45;2045775.17;617333.11;769073.88;3154.68;300452.93;124074;466153.22;298787.58;979036.18;1907161.22;1234376;60365.42;61497.72;5523;25545.5;23750.94;2767.35;3910.93;331320.41;219601.67;8963825.2
102;9625885.67;4105708.65;4544267.8;56230.11;919679.11;440160.42;189728.39;32895.59;1145638.33;1354135.16;1014378.65;3758277.41;1358982;0;621419.55;67481.48;130293.32;151204.75;224071.36;48368.64;1556063.66;221812.2;13802822.21
801;56721838.69;20124777.6;28316960.8;5103990.94;3176109.35;251109.3;357843.66;347694.33;439738.4;559808.07;19156050.87;12493406.86;1230462;11450.29;4768879.05;1422873.34;2104585.12;342044.74;97305.1;802070.75;5228802.33;1253813.19;77834083.32
1501;13404309.88;6750716.58;5306057.75;24941.4;1322594.15;23975.05;52818.79;87150.31;757483.57;602077.69;425838.27;4093057.11;2216214;262551.69;1080426.97;584349.91;327084.79;62290.88;22224.09;84477.3;414994.18;118870.27;15353653.56
1402;7702207.22;3021362.75;3306450.37;359392.14;1015001.96;0;44401.1;40445.59;144611.43;775985.04;2244089.94;2194867.19;1134177;9710.27;384164.68;113064.52;58286.22;81360.49;57819.47;73633.98;330339.41;336475.83;10951740.32
1001;21475657.24;6922115.53;11338675.46;439681.58;2775184.67;3757.45;145500.17;16545.9;601405.45;1347591.85;3221330.02;5901569.82;2589267;256379.52;1361860.56;326099.39;433101.34;362740.05;69350.41;170569.37;1023237.53;670825.21;26811788.08
1502;10570846.43;6529833.81;3256986.85;91043.95;692981.82;10000;122647.58;34656.93;223454.48;250322.95;748468.66;2209171.15;612055;167004.17;600827.75;99311.7;168190.12;113098.19;20780.89;199446.85;459094.5;370189.73;11960397.03
802;5234589.55;2817384.68;2006897.96;12224.64;398082.27;331887.36;1406.97;134539.9;137896.25;2510771.13;860877.44;1657379.69;1401450;27363.6;36278.21;6775.42;14190.11;11696.84;0;3615.84;82637.21;109650.67;9211968.6
