codigoine;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital;receitastotais;transferenciasorcamentoestado;financiamentouniaoeuropeia;impostosmunicipais;imi;imt;iuc;derramairc;taxasmultasoutrosimpostos;vendabensservicos;outrasreceitas;despesatotal
1401;3237115.25;1543353.66;1149369.66;88451.22;455940.71;0;1176298.57;139502.17;33495.7;64473.8;502479.4;6253442.89;2772438;1258502.94;514385.05;94877.12;165069.72;156780.39;0;97657.82;1274811.22;433305.68;5153364.89
101;3807817.7;1542051.17;1802409.69;566.91;462789.93;63616;936890.78;188324.1;218737.88;121777.48;120622.33;5375684.7;2351181;609025.84;1159616.15;125843.88;549135.2;170538.9;28186.08;285912.09;613280.92;642580.79;5457786.27
901;886980.19;392716.46;340425.99;31267.77;122569.97;4054.97;35448.35;3791.39;247362.51;48261.42;123759.11;2202370.41;1238703;211988.54;29547.52;3033.53;6217.48;5218.39;0;15078.12;151208.17;570923.18;1349657.94
701;1328224.34;758186.13;451212.45;19348.25;99477.51;0;391053.33;0;3338.67;18566.38;85510.78;2080767.68;1357305;265492.64;70134.22;8798.88;36607.52;17450.23;2947.21;4330.38;210936.97;176898.85;1826693.5
102;1909977.01;933275.89;853783.1;48023.75;74894.27;0;411560.59;0;49454.9;525280.11;72524.71;3251011.02;1427562;922650.71;357475.75;53677.54;108887.64;113476.11;9408.57;72025.89;396913.32;146409.24;2968797.32
801;9283047.79;4723865.89;3478019.16;189964.36;891198.38;6150.68;468503.46;13068.75;98847.97;153577.78;550844.38;9753379.66;1081557;-1237.17;3312170.17;818432.09;1726089.72;270398.44;0;497249.92;4595408.56;765481.1;10574040.81
1501;2928816.58;1316060.18;993994.64;14545.48;604216.28;39.24;48091.14;1887.93;170561.94;69115.93;126385;3390652.04;2278710;44677.88;479973.97;19797.09;268014.77;51434.51;33239.93;107487.67;468580.53;118709.66;3344897.76
1402;1243566.12;662881.34;300496.25;66323.98;213864.55;47552.49;19108.05;1504.39;232806.29;56022.93;137117.59;2157531.33;1166271;230544.96;309884.15;31572.25;105144.78;62419.94;64819;45928.18;260464.68;190366.54;1737677.86
1001;4056687.41;1472344.3;2105908.24;71267.45;407167.42;0;535846.84;8286.7;22719.23;81420.26;630453.67;5530826.81;2681910;321484.45;1367983.76;176169.12;607998.2;292925.4;30817.22;260073.82;319767.28;839681.32;5335414.11
1502;1995185.26;1525360.61;368847.18;27081.09;73896.38;10000;660714.26;420;5490.08;27563.51;129872.7;2553931.24;677061.6;417801.7;763063.06;84422.73;239002.72;85225.46;211098.69;143313.46;453816.19;242188.69;2829245.81
802;1074278.44;619196.77;398337.16;4038.02;52706.49;114806.98;0;151661.27;1533.93;222729.5;220733.32;2268521.51;1440243;550108.07;27115.09;3120.93;7872.68;9515.47;0;6606.01;106747.19;144308.16;1785743.44
1101;3320011.09;2118845.3;709135.13;101941.7;390088.96;0;507469.56;47689.51;223202.02;69749.11;239367.96;4380658.02;1631264.19;618707.16;807583.83;168705.34;300933.72;188480.57;18198.34;131265.86;292927.12;1030175.72;4407489.25
401;1144026.01;598760.39;244616.57;156411.26;144237.79;1951.45;10290.58;18700.75;173494.14;83616.34;379416.01;1966136.25;1330560.55;157475.91;98921.57;3498.73;40125.56;15170.93;2483.77;37642.58;113041.07;266137.15;1811495.28
