codigoine;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital;receitastotais;transferenciasorcamentoestado;financiamentouniaoeuropeia;impostosmunicipais;imi;imt;iuc;derramairc;taxasmultasoutrosimpostos;vendabensservicos;outrasreceitas;despesatotal
1702;5340124.66;2617505.41;1970708.24;60508.57;691402.44;65240.48;0;392698.79;1499453.3;3691377.88;747114.42;11317256.56;5726885;3136898.72;558046.31;182672.4;78687.8;75247.56;0;221438.55;1369810.62;525615.91;11736009.53
303;48783447.73;26211997.49;14186682.32;1242850.92;7141917;0;2577313.74;305326.92;2392906.23;3411810.09;26826375.35;87573098.58;21809027;3486037.4;38233961.55;19724556.72;7773342.91;3105318.05;3759727.48;3871016.39;7666307.66;16377764.97;84297180.06
402;20956150.98;6822383.59;12372257.78;288529.26;1472980.35;1680468.66;537677.11;481177.13;3017181.61;1815559.02;3395256.76;31921555.17;14244050;2638595.84;5462522.61;3107659.36;735071.46;582981.48;0;1036810.31;7816502.72;1759884;31883471.27
304;7811183.01;4455700.74;1964462.37;181494.34;1209525.56;650953.34;3693769.11;307737.49;1473024.33;701115.28;2140736.9;17132510.93;6893064;4141921.25;1961342.14;718458.26;364949.15;210369.21;146859.75;520705.77;1001535.13;3134648.41;16778519.46
1104;8037578.93;3850944.21;3291228.28;147527.89;747878.55;50000;1423871.3;176911.82;1364836.11;286124.22;439414.93;11676638.6;4769874;2232633.33;1830163.85;1002780.25;380007.12;216501.19;0;230875.29;2078029.91;765937.51;11778737.31
1006;17622526.76;5212377.33;9292849.36;138345.16;2978954.91;417529.25;899960.86;0;756395.88;819513.1;2242705.31;24420618.4;6886542;2595234.72;10657298.18;5792924.98;2223612.91;894410.88;862793.18;883556.23;2477360.42;1804183.08;22758631.16
3101;6189124.76;2175800.44;2830642.63;125465.83;1057215.86;49500;3143.94;60089.39;1435884.33;577565.69;1469772.29;10502043.88;6431132;1424729.79;1373066.19;610862.88;472158.9;162089.7;0;127954.71;734054.51;539061.39;9785080.4
4501;3022146.02;1769207.57;712236.39;443469.49;97232.57;0;30778.08;107972.88;89891.53;151261.67;517602.92;4093798.68;3441603;0;233018.21;123630.61;29089.71;45302.52;13342.34;21653.03;401305.12;17872.35;3919653.1
3102;8420414.23;4131139.25;3135732.06;206490.59;947052.33;225890.11;172045.43;542696.77;3289423.81;389521;960630.17;13852328.14;7656550;401844.81;2622553.31;1384947.78;228608.44;365565.51;0;643431.58;1771562.98;1399817.04;14000621.52
1602;11667383.13;5025146.06;5996535.93;134143.36;511557.78;4332.37;1226247.07;677236.51;1371220.83;1236277.22;1168250.1;17268901.97;6325629;2329858.33;3551703.24;2105493.86;682072.63;303197.54;199552.87;261386.34;3224094.21;1837617.19;17350947.23
