codigoine;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital;receitastotais;transferenciasorcamentoestado;financiamentouniaoeuropeia;impostosmunicipais;imi;imt;iuc;derramairc;taxasmultasoutrosimpostos;vendabensservicos;outrasreceitas;despesatotal
1401;3767595.19;1657555.49;1380168.47;44527.8;685343.43;2455.45;290916.77;18521.09;54824.37;106970.4;392435.12;4290524.57;2772438;47165.47;753771.35;124979.52;348217.43;167153.8;6415.43;107005.17;532168.35;184981.4;4633718.39
101;3967567.94;1592755.63;1683286.96;4312.56;687212.79;23294;688424.85;204661.77;1211130.74;159368.6;319681.75;9198073.4;2425773;4474238.55;761586.63;149737.1;260052.75;240189.1;0;111607.68;615383.24;921091.98;6574129.65
901;1014430.2;401508.71;442207.63;9280.41;161433.45;533.6;46745.16;66212.1;50966.53;65755.02;65402.39;1493671.2;1206708;0;43688.7;3083.46;8198.93;17225.75;0;15180.56;233598.5;9676;1310045
701;1744890.61;825433.27;656214.3;183406.29;79836.75;0;44205.07;11300;216503.12;86924.89;461723.8;2481888.56;1357305;216742.68;60291.04;7062.42;26230.53;19236.69;1574.59;6186.81;299205.92;548343.92;2565547.49
102;2003125.19;896424.88;967478.79;29534.58;109686.94;160000;74078.47;0;58496.75;206134.48;242472.93;4570095.99;1427562;739370.43;367474.54;76420.81;124168.77;120967.89;0;45917.07;1997540.1;38148.92;2744307.82
801;7016717.23;4716964.97;1700308.3;114221.9;485222.06;0;442261.3;10968.53;107128.14;90119.49;710918.87;9377193.79;1304712;466748.32;2164814.87;549433.05;847201.19;201954.04;35863.82;530362.77;4534735.7;906182.9;8378113.56
1501;3126677.23;1397676.63;978591.14;10535.43;739874.03;0;2576.91;29483.9;372194.81;10850.6;65404.46;3608440.54;2278713;239797.69;580396.43;27093.81;378481.98;54671.01;53534.67;66614.96;384087.01;125446.41;3607187.91
1402;1654143.85;668042.78;683195.11;90457.66;212448.3;2194.52;125599.19;0;92383.74;74822.58;133930.67;2256892.49;1166271;9864.2;287175.47;28439.92;56892.34;65317.81;89246.57;47278.83;473852.75;319729.07;2083074.55
1001;3923858.22;1557651.85;1990860.27;16110.7;359235.4;0;195678.32;13127.96;40572.06;107995.72;445221.19;4980294.5;2726529;95800.54;1183404.48;126825.48;538116.44;297287.43;10051.71;211123.42;927414.84;47145.64;4726453.47
1502;1872899.62;1509764.73;279883.84;4477.59;78773.46;0;2815.01;0;24822.58;1518.78;40900.2;1848016.36;665264;25928.62;635121.01;75841.07;288191.43;92608.28;32699.32;145780.91;465577.47;56125.26;1942956.19
802;987942.82;646537.58;298603.46;299.49;42502.29;32324.69;1215.07;604.98;11872.41;21940.1;177485.45;1828615.5;1440243;220755.89;23080.6;2833.93;4703.03;10254.62;0;5289.02;59977.51;84558.5;1233385.52
1101;3306491.43;2170208.95;687134.18;54444.5;394703.8;0;66219.44;0;267670.42;46582.02;197640.03;3513541.77;1556664;0;781915.49;131065.98;349985.12;198795.31;5202.22;96866.86;222472.96;952489.32;3884603.34
401;1172947;631328.16;352073.76;131307;58238.08;2450;3078.1;8610.47;152618.64;122018.42;525923.84;1981628.03;1332517;0;95095.43;2697.33;26824.95;10029.62;3378;52165.53;128962.19;425053.41;1987646.47
1701;1037933.26;659665.5;248892.14;53833.08;75542.54;7937.34;0;78076.05;103198.38;3613.1;317440.36;2009937.38;1505712;0;103808.9;10617.95;25512.35;41334.58;0;26344.02;377056.7;23359.78;1548198.49
803;1563458.25;767268.82;540092.65;14295.56;241801.22;6255.91;3423.53;126.94;83878.14;19113.64;158903.76;1745300.63;1096965;122810.48;213504;29177.38;81688.58;32080.18;0;70557.86;292383.47;19637.68;1835160.17
201;1611230.65;791250.96;506093.11;19489.78;294396.8;0;346834.42;23714.52;148982.99;114095.7;168271.77;1987371.29;1366251;183951.94;127237.74;4282.42;48199.45;40479.45;1147.15;33129.27;222114.38;87816.23;2413130.05
1503;11472028.3;6147285.51;3509374.09;202525.33;1612843.37;0;122077.04;84060.26;99154.29;616079.77;884488.03;10018349.68;4044468;251640.81;2809801.99;513820.94;1059846.41;794989.57;88058.74;353086.33;1854843.54;1057595.34;13277887.69
902;1469367.8;552294.24;599124.8;17624.66;300324.1;0;29639.09;24713.74;50879.74;43445.06;163021.86;2238564.74;1760181;23906.27;152312.35;1303.34;11422.88;29477.56;0;110108.57;276995.94;25169.18;1781067.29
1403;2639374.78;945719.09;1339618.24;24663.44;329374.01;12500;48364.38;63807.48;55276.11;96659.53;198698.64;2986603.06;1335441;253136.84;175075.5;27067.32;0;69775.67;2891.5;75341.01;380157.59;842792.13;3114680.92
202;1606449.55;887131.37;479256.93;13235.26;226825.99;0;50721.69;52927.69;192459.52;376680.44;197485.46;3539109.15;1965771;1092418.81;111963.35;6284.27;13276.2;32874.58;0;59528.3;249626.18;119329.81;2476724.35
1404;1200110.32;661331.37;304758.61;89992.54;144027.8;0;1206.82;0;4181.3;90627.85;197393.07;1232065.48;798877;0;158946.88;26089.68;69969.27;31571.01;2753.6;28563.32;100711.97;173529.63;1493519.36
1201;913031.06;604928.62;249500.04;2383.82;56218.58;23282.37;77667.89;0;2363.09;102331.15;65224.49;1284500.69;992262;0;48677.38;6568.99;24280.77;12660.34;227.71;4939.57;167115.19;76446.12;1183900.05
1002;1010878.37;363326.92;584042.65;13966.95;49541.85;0;149917.64;164944.04;189647.94;438097.03;36693.42;1995355.33;1086354;261289.42;81389.02;5118.6;31977.53;33751.4;0;10541.49;513573.91;52748.98;1990178.44
